name,company,company_review,est_salary,location,description
"Consultant, Business Performance Analytics",Travelers Companies,3.9 ★,$58k-$96k(Glassdoor est.),"– Hartford, CT","Company Information
Solid reputation, passionate people and endless opportunities. That's Travelers. Our superior financial strength and consistent record of strong operating returns mean security for our customers - and opportunities for our employees. You will find Travelers to be full of energy and a workplace in which you truly can make a difference.

Job Summary
Positions within this family explore and profile data, draw business inferences, complete analysis and clearly articulate findings for a target audience. This position performs accountabilities under general supervision. Position is an entry level role into the Descriptive Analytics function, in limited Descriptive Analytics experience or business experience in related field. Position accountable for performing less complex core tasks of Descriptive Analytics (the exploration and investigation of past business performance), partnering with team members on more complex tasks.
This role will be dedicated to expanding and improving Auto Emerging Issues, helping with the workforce management of the line across all roles/offices. Responsibilities will include producing weekly reports and analyzing workflow, interacting with Auto leadership, and recommending optimal resource alignment. This role includes fostering collaborative relationships with a number of stakeholders both inside and outside Auto Product
The ideal candidate should have the ability to identify and analyze trends; demonstrate proficiency in technical skills especially within MS Excel and PowerPoint; strong communication skills; accountable to work independently and also with a team in a fast-paced environment; ability to adapt to change quickly.
This job does not lead others. Definition of General Supervision: incumbents are told what to do, but not how to do it. Incumbents have some discretion on work accountabilities.

Primary Job Duties & Responsibilities
Applies descriptive analytics to analyze data and validate assumptions. Selects appropriate relevant data and extracts from various internal and external sources. Manipulates raw data sets into information fit for analysis applying needed logic. May require additional information from subject matter expert. Presents analysis and recommendations to team members and manager. Contributes to development of reporting to monitor business critical results. Partners with team members to monitor data to recognize patterns and analyze trends. Provides required analysis, partnering with team members as needed. Applies established best practices to Descriptive Analytics assignments. Participates in the peer review process. Manages assigned less complex projects under general guidance of manager and/or team members.

Minimum Qualifications
Bachelors degree or equivalent education required.

Education, Work Experience & Knowledge
Bachelors degree in STEM (Science, Technology, Engineering, Mathematics) preferred. 2+ years of analytics or related experience preferred. 2+ years working successfully with Microsoft office products or similar products preferred. Working knowledge of analytic concepts. Experience with Descriptive Analytic practices and processes. General business knowledge preferred. Working knowledge of Insurance products/concepts preferred. Experience working on teams. Working knowledge of the main features of the collection of data and the relationship of data elements to each other. Working Knowledge: Understands basic principles and terminology in order to understand and solve simple problems).

Job Specific & Technical Skills & Competencies
Working understanding of the business functions of businesses supported. Demonstrated intermediate analytic and diagnostic skills. Demonstrated intermediate interpersonal skills. Demonstrated intermediate communication skills Ability to work independently and as part of a team. Intermediate project management skills Working understanding of the business functions, processes, and overall business strategies Desire to see tasks to completion. Intermediate Computer Skills in Excel and basic skills in database programming language and/or related applications Intermediate problem solving and decision making skills Definition of Basic skill/competency level: demonstrates basic knowledge and ability; can apply the competency in common/familiar situations that present limited difficulties. Definition of Intermediate skill/competency level: demonstrates solid knowledge and ability; can apply the competency with minimal or no guidance, in the full range of typical situations. Requires guidance handling novel or more complex situations.

Physical Requirements
Requires extended periods of computer use. Requires extended periods of sitting.

Equal Employment Opportunity Statement
Travelers is an equal opportunity employer.
To apply to this job, click Apply Now"
Entry Level Business Consultant,Reynolds and Reynolds,3.1 ★,$53k-$86k(Glassdoor est.),"– Houston, TX","Are you customer focused, resourceful, and looking to start your career with a leading provider of automotive retailing solutions? Then consider joining our team! Reynolds and Reynolds, one of the top providers of premium integrated computer solutions for automotive dealerships, is seeking Business Consultants to join our growing team of professionals in Houston, TX.
As an Entry Level Business Consultant, you will be responsible for providing high level customer service and software utilization consulting to our dealership customers. Functioning as a consultant, you will be responsible for providing support for our new products, with the ultimate goal of helping our customers realize maximum value from the software tools they have purchased. Most of this consulting will be done over the internet via video-conferencing technology. You will be able to analyze the customer’s software usage and target specific tools and solutions to maximize their operational effectiveness.
You will begin with an intensive five (5) month paid training program located at our office in Houston, TX. Training for this role will consist of combined classroom instruction and online courses. The courses consist of in-depth product training as well as automotive industry knowledge. You will also be partnered with a mentor to train in the field where you can apply your classroom knowledge in a real-world setting. Throughout training you will participate in Role plays, Demos, and Case Studies with plenty of real world examples.
After your training, you will split time between the Houston office and your home office. When working from home, you will perform the video-conference customer meetings and when working from our office, you will work on training and departmental improvement projects.
REQUIREMENTS:
Bachelor’s Degree
Must be a self-starter with good time management skills
Strong written and verbal communication skills
Excellent customer service and organizational skills
Ability to build strong customer relationships
Ability to travel periodically (quarterly) for a week of customer visits
Living in or willing to relocate to Houston, TX area
BENEFITS:
We strive to offer an environment that provides our associates with the right balance between work and family. We offer a comprehensive benefits package including:
Medical, dental, vision, and life insurance
401k with 100% matching up to 6% of compensation
Referral bonuses with the opportunity to earn up to $7,000 per hire
Paid holidays, vacation, and sick days
Professional development and training through ‘Reynolds University’
Discounted membership to local area fitness centers
Company-sponsored events and sports leagues including: company picnic, softball, volleyball, bowling, and more!
Gourmet cafeteria, open for breakfast and lunch, that features a salad bar and a variety of made-to-order cuisine options
Opportunities to participate in charitable endeavors, such as our annual Bike Build for local military families, participation in the Reynolds Associate Foundation, company sponsorship in local charity 5k Run/Walks, and other volunteer opportunities


ABOUT OUR COMPANY:
Established in 1866, Reynolds and Reynolds offers the Retail Management System – a complete suite of products and services for automotive dealerships. Reynolds solutions are built as one, to work as one, for all areas of the dealership. While headquartered in Dayton, Ohio, Reynolds has offices all over the world, employing more than 4,300 associates. We offer a variety of opportunities: Energizing projects, high-powered teaming, constant learning, and professional growth.
Reynolds and Reynolds promotes a healthy lifestyle by providing a non-smoking environment.
Reynolds and Reynolds encourages applicants of all ages and experience to apply, as we do not discriminate on the basis of age.
To apply to this job, click Apply Now"
Entry Level Functional Consultant - Netsuite,Sikich LLP,3.6 ★,$69k-$107k(Glassdoor est.),"– Marlborough, MA, United States","Sikich is seeking an entry-level functional consultant for our Netsuite team. In this role, you will gain experience that will touch on a variety of technology-related tasks, programs, and projects.

Essential Job Duties
Stays current on software application functional capabilities in the industries of Supply Chain, Trade & Logistics, and Warehouse, and others to implement feature functions on client projects.
Works collaboratively with other functional & technical project team members to ensure successful & timely project delivery.
Works directly with clients to implement business processes under their expertise.
Learns & documents new features & business processes to share with Netsuite team & our clients.
After initial training period, travel up to 80% (nationally & internationally) to customer locations for on-site work.
Qualifications
Must be legally authorized to work in the United States without sponsorship now or in the future
Bachelor’s Degree in Accounting, Finance, Business, Information Systems, Supply Chain Management, Operations, or equivalent.
Interest in working in a client facing environment
Excellent verbal and written communication skills
Proficient in Microsoft office applications including Word, Excel, and Outlook
Additional supply chain or manufacturing certification (CSCP, CPIM, etc.) a plus.
About Sikich

Sikich LLP, a top professional services firm, is recognized as one of the fastest growing organizations and best places to work. Consistently ranking as one of the country’s Top 27 CPA firms and among the top 1% of all enterprise resource planning solution partners in the world, the firm offers one-of-a-kind solutions.
To apply to this job, click Apply Now"
Business Performance Analytics Consultant,Travelers Companies,3.9 ★,$123k-$150k(Glassdoor est.),"– Hartford, CT","Company Information
Solid reputation, passionate people and endless opportunities. That's Travelers. Our superior financial strength and consistent record of strong operating returns mean security for our customers - and opportunities for our employees. You will find Travelers to be full of energy and a workplace in which you truly can make a difference.

Job Summary
Positions within this family explore and profile data, draw business inferences, complete analysis and clearly articulate findings for a target audience. This position performs accountabilities under general supervision. Position is an entry level role into the Descriptive Analytics function, in limited Descriptive Analytics experience or business experience in related field. Position accountable for performing less complex core tasks of Descriptive Analytics (the exploration and investigation of past business performance), partnering with team members on more complex tasks. This job does not lead others. Definition of General Supervision: incumbents are told what to do, but not how to do it. Incumbents have some discretion on work accountabilities.

Primary Job Duties & Responsibilities
Applies descriptive analytics to analyze data and validate assumptions. Selects appropriate relevant data and extracts from various internal and external sources. Manipulates raw data sets into information fit for analysis applying needed logic. May require additional information from subject matter expert. Presents analysis and recommendations to team members and manager. Contributes to development of reporting to monitor business critical results. Partners with team members to monitor data to recognize patterns and analyze trends. Provides required analysis, partnering with team members as needed. Applies established best practices to Descriptive Analytics assignments. Participates in the peer review process. Manages assigned less complex projects under general guidance of manager and/or team members.

Minimum Qualifications
Bachelors degree or equivalent education required.

Education, Work Experience & Knowledge
Bachelors degree in STEM (Science, Technology, Engineering, Mathematics) preferred. 2+ years of analytics or related experience preferred. 2+ years working successfully with Microsoft office products or similar products preferred. Working knowledge of analytic concepts. Experience with Descriptive Analytic practices and processes. General business knowledge preferred. Working knowledge of Insurance products/concepts preferred. Experience working on teams. Working knowledge of the main features of the collection of data and the relationship of data elements to each other. Working Knowledge: Understands basic principles and terminology in order to understand and solve simple problems).

Job Specific & Technical Skills & Competencies
Working understanding of the business functions of businesses supported. Demonstrated intermediate analytic and diagnostic skills. Demonstrated intermediate interpersonal skills. Demonstrated intermediate communication skills Ability to work independently and as part of a team. Intermediate project management skills Working understanding of the business functions, processes, and overall business strategies Desire to see tasks to completion. Intermediate Computer Skills in Excel and basic skills in database programming language and/or related applications Intermediate problem solving and decision making skills Definition of Basic skill/competency level: demonstrates basic knowledge and ability; can apply the competency in common/familiar situations that present limited difficulties. Definition of Intermediate skill/competency level: demonstrates solid knowledge and ability; can apply the competency with minimal or no guidance, in the full range of typical situations. Requires guidance handling novel or more complex situations.

Physical Requirements
Requires extended periods of computer use. Requires extended periods of sitting.

Equal Employment Opportunity Statement
Travelers is an equal opportunity employer.
Start your job application: click Apply Now"
Solar Sales Consultant,Alternative Solar,,Employer Provided Salary:$12-$17Per Hour,,"Alternative Solar is excited to add 1-2 new entry-level solar sales consultant positions to our Boerne area. Are you enthusiastic about earning an income in solar energy and helping homeowners save money on their bills? Alternative Solar provides a diverse and energetic culture that enjoys celebrating success and are dedicated to creating sales leaders. We are looking to build a relationship with the right people, offering career advancement opportunities, training, accountability to increase success, and a focus on helping you in every way that we can. Training will be determined by your prior experience and knowledge of the industry. We are looking for go-getters who have no fear talking to anyone!

Responsibilities:
Generate leads by prospecting
Fully understand the solar industry - We will train you!
Attend Regular In-Office Sales Meetings
Stay in constant communication with Sales Managers
Requirements:
Strong desire for a long-term successful career within the renewable energy industry
Available to work evenings and weekends
Must attend all training and weekly team meetings
Driven attitude
Personable personality
Must have transportation
Must have smartphone
About Alternative Solar:

Alternative Solar is a veteran owned and operated solar solution company based in San Antonio Texas. Our focus is to provide cost-effective and renewable energy solutions for residential and commercial users, providing the tools and knowledge for long-term fixed energy costs as well as independence from “big” energy corporations. Alternative Solar helps our customers power their future.

Please submit your resume and a brief explanation as to you why you are the perfect fit for this position

Entry level will make a minimum of $150 a week, for the first 6 weeks after training is completed.

No caps on commissions.

Average consultants make about $5000 a month

Superstars make upwards of $20,000 a month

Build a team and make even more money!!!
Apply Now: click Easy Apply"
Digital Marketing Consultant,hibu,3.1 ★,$29k-$44k(Glassdoor est.),"– King of Prussia, PA","Digital Marketing Consultant
The Digital Marketing Consultant will be responsible for onboarding and maintaining an ongoing relationship with clients who purchase digital products (websites, SEO/SEM and Social Media etc.) through Hibu. The Consultant will also manage a portfolio of clients and provide proactive client communications via phone and email within a customer service call center environment. They may be direct points of contact for clients who have customer service questions or needs regarding their digital advertising including websites, search, display and, SEO. The Consultant may be responsible for identifying additional revenue opportunities that exist when interacting with the clients.

*Great entry level opportunity!
Primary Responsibilities:
Establish a connection with the client at the point of sale and help the client through fulfillment and go-live process of the client’s digital products. This position will be responsible for items surrounding the collection of assets for the client’s digital advertising.
Clearly set client expectations with regards to product definition and fulfillment processes and timelines.
Engage with the client on a pre-determined basis to address any client questions or concerns. Also be able to answer any client-initiated questions specific to the digital products.
Responsible for meeting defined KPIs as they relate to client satisfaction and retention including client contacts, outbound calls, emails and additional client revenue opportunities.
Provide proactive performance results to client with regards to performance of the digital program, including making suggestions on how to improve products so that performance is increased
Assist in the retention process when needed including the ability to offer waivers and escalation channels to get work completed quickly.
Serve as a point of contact in terms of billing, invoice, payment and delinquency questions
Able to keep up with the changing product landscape of the company
Be familiar with industry trends and standards in regards to digital advertising and share trends proactively with clients to reinforce the value of hibu’s products and services.
Liaise with internal teams including Website Support, Search, Display, SEO, DNS, and WAVE.

Competencies/Critical Skills:
Able to maintain a list of active clients and engage appropriately
Must have excellent client service skills
Professional written and verbal communication
Ability to multi-task
Effective time management
Punctuality
Handle change in process or policy in a positive manner
Having an understanding of the sales process and be able to upsell clients
Deep knowledge of company’s digital product offerings
Ability to work with various different client types
Goal oriented focus
Willingness to learn new products and processes
Ability to analyze and interpret metrics around client’s digital program
Working knowledge of website design, search, SEO principles
Ability to learn and work on various website, search, billing and client information platforms
Understanding of digital advertising fulfillment processes and timelines

Education
High School or better - Required
Bachelors or better in Advertising - Preferred
Bachelors or better in Communication - Preferred
Bachelors or better in Marketing - Preferred
Experience
1-2 years: Call Center - Preferred
Google Certification - Preferred
Proficiency in computer-based software including Microsoft products - Preferred
Previous experience with face to face or over the phone client support - Preferred
Previous experience working with websites, search, display, and SEO - Preferred
2 years: Sales or service experience working with a client base that has purchased digital advertising -Preferred"
Entry Level Business Consultant - GBS Commercial Sector,IBM,3.6 ★,$60k-$93k(Glassdoor est.),– New York City,"Job Description
IBM Global Business Services (GBS) is now hiring Entry-level Commercial Sector Business Consultants.

As an Entry-level Business Consultant, you will have the opportunity to join our world class leadership and development program designed to groom top talent entry-level consultants into tomorrows leaders.

IBM GBS consultants help organizations fundamentally redesign experiences to create new sources of value, digitally reinvent operations for great efficiency and transform entire enterprises through the use of cognitive. This is possible by taking advantage of IBMs global reach, outcome-focused methodologies, domain skills and deep industry expertise.

We are looking for enthusiastic and digitally savvy candidates with the skills, creativity and passion to solve some of societys most complex problems with your innovative thinking and ideas. We seek the best and brightest from all walks of life from business to engineering, communications to computer science, analytics to application development, and everything in between.

The entry-level consultant development program was established to help you experience, grow and transform your consulting career with breadth and depth to remain agile in an ever-changing technological world. By providing you with a variety of project and role experiences and focused skills development opportunities, our consultants are prepared to successfully launch and accelerate their careers. New digital technologies along with cloud, mobile, analytics and cognitive computing are changing how we engage and work with one another. The entry-level consultant development program targets high performers and provides focused training, one-on-one mentoring, and career guidance to help you gain the expertise and know-how that you need to become future partners and executives.

Join IBM GBS and become part of something special:
An elite leadership development program, unmatched in the marketplace
Be part of a unique community connected with peers, project teams and other practitioners and leaders
Foster your collaboration and teaming skills with globally accessible teams
Develop a specialized skill set through experiential learning and a tailored education path
Experience a variety of roles and projects, as well as peer-led initiatives
Benefit from customized career planning and mentoring
What will you do as an IBM GBS Entry-level Business Consultant?
As a Business Consultant, you will work on projects that help clients integrate strategy, process, technology, and information to increase effectiveness, reduce costs and improve profit and shareholder value. You will have an opportunity to build a powerful portfolio of interesting and rewarding experiences. You can take advantage of opportunities to master new skills, work across different disciplines, move into new challenges and develop a robust understanding of different industries.

What do we look for in a successful IBM GBS Entry-level Business Consultant?
A minimum GPA of 3.2 is a preferred qualification of this position
Ability to translate business requirements into technical solutions
Demonstrated leadership experience and ability to adapt, with willingness to readily take ownership of tasks and problems, which often extend beyond initial scope of responsibility
Ability to apply logic to solve business problems through a detailed analytical approach
Ability to handle multiple tasks concurrently and meet deadlines, while maintaining focus in an environment with conflicting demands
Drive to overcome the most challenging or difficult obstacles and look for ways to improve results
Initiative to actively seek new knowledge and improve skills
Strong interpersonal skills with ability to collaborate and work effectively with individuals, strengthening relationships to achieve win-win solutions
Ability to communicate complex situations clearly and simply by listening actively and conveying difficult messages in a positive manner
A passion for innovative ideas, coupled with the ability to understand and assimilate different points of view
Ability to translate requirements into a business case
Ability to understand clients needs and challenges and apply creative and logical approach to identify solutions
Preferred Majors/Degrees:
Business Administration/Management, Finance, Marketing, Economics, International Business, Technical Engineering Majors, Computer Information Systems, Management Information Systems, Information Management, Supply Chain Management

Opportunities available in the following locations:
Atlanta, Boston, Chicago, Dallas, Houston, New York, San Francisco, Washington

IBM will not be providing visa sponsorship for these positions now or in the future. Therefore, in order to be considered for this position, you must have the ability to work without a need for current or future visa sponsorship.

Required Technical and Professional Expertise
Willingness and ability to travel up to 4 days a week (home on weekends based on project requirements) but up to 100% if required.
Reside within a reasonable commuting distance (generally 20 miles or less) of one of the following cities or willingness to relocate to: Atlanta, Boston, Chicago, Dallas, Houston, New York, San Francisco, or Washington, DC.
Preferred Tech and Prof Experience

Preferred degrees/majors:
Business Administration/Management, Finance, Marketing, Economics, International Business, Technical Engineering Majors, Computer Information Systems, Management Information Systems, Information Management, Supply Chain Management

EO Statement
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
Program Manager (Entry Level),TRAM Inc,3.0 ★,$57k-$88k(Glassdoor est.),"– Plymouth, MI","Conduct program status presentations:
Provide regularly scheduled program reviews to TRAM General Management
Prepare electronic documents for internal reports and customer presentation materials
Deliver formal Program Status review with Customer Management upon request
Lead cross functional team:
Analyze, monitor & resolve cross functional problems through regular PDT open issues meetings
Provide general interpretations of technologies
Promote teamwork and Kaizenpractices
Effectively plan and organize work assignments to efficiently allocate available manpower
Act as internal & external communication hub:
Establish & distribute program related information to necessary departments
Ensure customer satisfaction regarding efficient flow of pertinent program related information
Oversee and initiate communication between Sales, Product Development, Cost Planning & all TR locations
Communicate clearly and effectively with all departments, understanding Customer requirements 100% and giving understandable directions/expectations to all; maintain diplomatic relations between customers and Tokai Rika plant representatives.
Monitor, track & ensure compliancywith program requirements:
Ensure successful execution of all project milestones
Monitor & track the status of program/projects
Ensure that all program steps comply with established Customer program processes
Represent TRAM, Inc. in a professional manner, complying with all requirements & expectations
Maintain knowledge of TRAM’sproducts and Tokai Rika Japan's business method
Develop, maintain and monitor program master schedules
Qualifications:
Bachelor’s degree in Engineering, Business or a closely related field.
0-2+ years of PM, QA, Design or similar experience.
Strong communication skills.
Effective interpersonal and relationship building skills.
Good organizational skills.
Strong attention to detail.
Proficient with MS Office (Excel, Word, PowerPoint).
Preferred experience in Toyota Development Systems.
Apply Now: click Easy Apply"
Management Consultants (NYC),Q5,4.2 ★,,"– New York, New York","Management Consultant

Q5 is looking for consultants to join our team in New York, NY. We are currently seeking entry level, mid-career and leader candidates.

Q5 is a fast growing management consultancy specializing in organization design & development and change management. We’re looking for smart, hard-working, and enthusiastic talent with an interest in management consulting and a passion for solving complex business problems. Consultants at Q5 contribute from day one, taking a full role in our fast-paced and constantly changing business.

Consultants at Q5 are mostly engaged on client programs, working closely with clients’ senior management to design and deliver solutions along with Q5 colleagues that have a range of experience. As part of a small and growing team, you will also contribute fully to the running and management of the company.

The ideal candidates will have an interest in management consultancy as a career and a desire to push themselves to develop. We look for strong analytical and relationship building ability, as well as creativity and professionalism, proven adaptability and the capability to work well under pressure.

We don’t have a “corporate type” at Q5. Instead we encourage our people to be themselves. In our experience, this allows our team to perform to the best of their ability when on projects as well as giving us great colleagues to work alongside.

Founded in the UK in 2009, and subsequently named 'best new consultancy' by the Management Consultancies Association, the US arm opened in April 2013. We’ve been growing fast on both of the Atlantic since. We work across multiple industries and functions at clients such as Burberry, Barclays, The Wall Street Journal, NBCUniversal, Shell, Time Inc., and De Beers. We are able to provide a real grounding in the skills and tools necessary for a successful career in management consultancy.

Positions are based in NYC and candidates must have the right to work in the USA.

For more information on Q5 and the work that we do please visit http://q5partners.com/"
Associate Consultant,Mars & Co,3.0 ★,$72k-$99k(Glassdoor est.),– New York City Area,"Would You Like To Solve Interesting Strategic Problems For Leading Companies?

Company Description:

Mars & Co is a unique global player in the Strategy Consulting industry:
Over the firm’s nearly 40 year history, Mars & Co has provided customized strategic and operational expertise to many of the world’s largest and most recognized corporations on an industry exclusive basis (i.e., we only work for one client per industry).
Composed of over 200 consultants globally, our consultants have the opportunity to work across a broad variety of industries, business functions and geographies while benefiting from exceptional amounts of high-level client exposure and interaction.
From our seven offices in North America, Europe and Asia, we continue to expand our roster of prestigious clients and develop some of the finest minds in the consulting industry. At Mars & Co, you immediately get the opportunity to help provide high impact strategic and operational assistance to an elite group of predominately Fortune 100-sized companies or their international equivalents. We have a hands-on learning environment that provides you with practical training and teaches you valuable problem-solving and business skills which translate into any business environment. At Mars & Co, individual initiative, creativity and analytical rigor are all highly prized and well rewarded.

Position Overview:

At Mars & Co, the Associate Consultant (“AC”) is a demanding yet rewarding entry level position for recent undergraduates. No specific previous experience is required, although a strong quantitative foundation is absolutely essential. Qualified candidates are energetic and independent individuals with exceptional and demonstrable quantitative analytical abilities. As a Mars & Co AC, you will be required to perform rigorous yet creative analyses, learn new industries quickly and work well as an integrated member of a project team. Once you have mastered the requirements of the AC position, you are considered promotable to the next position in the firm, Senior Associate Consultant (“SAC”). A successful SAC can be promoted to the Consultant level without an MBA and can follow the same career trajectory as MBA degree holders.

Prerequisites:

AC candidates should be very well skilled in the use of analytical techniques and must already possess strong spreadsheet and database manipulation skills. You should have excellent research capabilities, team skills and be able to express yourself well both verbally and in writing. The position requires individuals who are detail oriented, flexible and very organized. Successful ACs typically have degrees in Engineering, Mathematics, Economics or one of the physical sciences. Mars & Co is looking for high achievers as demonstrated by superior academic performance at leading universities or colleges. Mastery of a foreign language is not a requirement, but is advantageous.

Candidates should be well-balanced individuals with the following personal traits:
A high level of enthusiasm and an entrepreneurial drive to be successful in all undertakings.
“Uncommon common sense” when it comes to solving problems.
The intellect to be a “quick study” in new situations.
Creativity with the ability to think “outside the box”.
A laser-like focus on solving problems and getting to the core of issues quickly and efficiently.
A high degree of maturity and responsibility.
Job Responsibilities:

ACs are integral members of project teams which range in size depending on the nature of the business issues being addressed. Typical project responsibilities for an AC include:
Conducting research to obtain data and other useful information from a variety of sources.
Analyzing/visualizing data and information to yield meaningful insights.
Interpreting and synthesizing analyses to yield valuable conclusions.
Applying strategic thinking to create useful options for addressing client issues.
Preparing presentation materials for use with clients and staff.
Communicating methodologies, findings and recommendations to clients and staff.
Rapidly learning new business concepts and analytical techniques to apply to client issues.
Career Development:

At Mars & Co, consultants are trained and developed primarily via on-the-job experience as members of project teams, supplemented by periodic seminars. The senior members of each team teach new consultants our analytical techniques required for making successful contributions to projects. Mars & Co’s global footprint also provides consultants opportunities to work with colleagues from our other offices in North America, Europe, and Asia, as well as the opportunity to travel to both domestically and internationally thus learning how businesses operate globally.

Mars & Co has a strict “promotion from within” philosophy. ACs are considered for promotion to Senior Associate Consultant once they have demonstrated their ability to add meaningful value to project teams and have mastered all the responsibilities of their position. Typically, high performing ACs have achieved these milestones within 18 to 24 months of joining the firm; however there is no set pattern for promotion.

Compensation & Benefits:

Compensation at Mars & Co is based on personal performance and is competitive within the Strategy Consulting industry. Mars & Co provides a complete suite of benefits including: medical, dental, life and disability insurance, paid vacation, 401(k) plan with employer matching and sports club membership.

Recruiting Process:

To be considered for the Associate Consultant position at Mars & Co, please submit your resume, cover letter and unofficial copies of your undergraduate transcript (and graduate if applicable). Applications will be reviewed on a rolling basis as they are received.

Depending on each candidate’s level of success, Mars & Co conducts up to three rounds of interviews: generally one over the phone and two on-site. Phone interviews will include general questions about your background and interest in both consulting and our firm. Each round of on-site visits will consist of interviewing with 2 or 3 members of our consulting team and will include case questions as well as general questions about your background and fit with the firm. During final round interviews you will have the opportunity to go to lunch with some of our consultants in order to learn more about the firm, our culture and the unique work we do.

For more information visit: www.marsandco.com/careers"
