name,company,company_review,est_salary,location,description
Data Scientist,PPL,3.0 ★,$66k-$105k(Glassdoor est.),– PA-Allentown,"Title
Data Scientist

25-Oct-2018

25-Oct-2019

Primary Responsibilities

Business Alignment and Thought Leadership:

• Work with the business stakeholders to identify data requirements

• Model and frame business scenarios that are both meaningful and impact critical business processes and/or decisions

• Effectively communicate complex technical data results to target audience

Data Collection and Integration:

• Parse and manipulate raw, complex data streams to prepare for loading into an analytical tool

• Perform end-to-end data set identification, development, and implementation

• Work with Data Analysts / Technologists to support data collection, integration and retention requirements based on the input collected with the business

• Gather and process data from the Transmission, Distribution, Customer Service, and EU Service functions, and transform them into data products

• Design and implement statistical data quality procedures around new data sources

• Develop and implement data set processes and layouts

Discovery and Statistical Analysis:

• Implement data formulation process, including identification of attributes, exploratory data analysis, data transformation, and temporal data structures

• Perform statistical analyses with both new and existing data sets in statistical packages

• Understand the use and ability to employ the appropriate algorithms to discover patterns

• Apply best available practices for artificial intelligence and machine learning

Reporting:

• Implement ongoing improvements to methods and algorithms that lead to findings, including new information

• Guide /collaborate with Data Visualization Technologists to visualize and report data findings creatively in a variety of visual formats that appropriately provide insights to the business

Data Governance:

• Ensure that the information used follows the compliance, access management and control policies of the organization

Physical presence in the office/on-site to engage in face-to-face interaction and coordination of work among direct reports and co-workers.

May be assigned an Electric Utilities emergency and storm role. This is a special assignment that comes into play during storms and other emergencies when the company needs to restore power or respond to other issues affecting customer service. This role may necessitate the need to work after-hours, outside of your normal schedule.

Requisition ID
4812BR

Position Summary

We've got an electric future. The energy industry is an exciting place, full of developing technology and new customer service possibilities. PPL Electric Utilities is looking for Data Scientists who can help us provide strong, reliable, affordable electric service to more than a million customers in Pennsylvania, while adapting to new opportunities that are changing our industry. People depend on us and we deliver. We'd love to have you on board as we tackle that challenge, in new ways, everyday.

The Data Scientist designs and implements processes and layouts for complex, large-scale data sets used for predictive modeling, data mining, and research purposes. They work with the business stakeholders to identify data requirements, and both model and frame business scenarios that are meaningful and impact critical business decisions.

Candidate Qualifications

Candidates must meet the basic qualifications and pass all required tests or assessments to receive consideration.

In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility form upon hire.

Experience Level
Entry Level

Recruiting Location
PA-Allentown

Basic Qualifications
Bachelor’s degree in data science, data analytics, computer science or mathematics and two (2) years of experience with data mining and statistical analysis. In lieu of experience, applicants with a Master's degree in data science, data analytics, computer science or mathematics will be considered.
Able to understand various data structures and common methods in data transformation
Excellent pattern recognition and predictive modeling skills
Experience with object-oriented programming languages such as Python
Knowledge of industry leading data quality and data protection management practices
Proven ability to prioritize and execute tasks
Highly self-motivated and directed with attention to detail
Easily adapts to changing circumstances
Able to understand business goals and strategic priorities
Equal Employment Opportunity

Our company is an equal opportunity, affirmative action employer dedicated to diversity and the strength it brings to the workplace. All qualified applicants will receive consideration for employment without regard to race, color, age, religion, sex, national origin, protected veteran status, sexual orientation, gender identify, genetic information, disability status, or any other protected characteristic.

Regular or Temporary
Regular

Preferred Qualifications
Master’s degree
Five (5) years experience with SAS, ETL, data processing, database programming and data analytics
Experience building and running machine learning algorithms
Experience supporting fast-changing business organizations
Full-time or Part-time
Full-Time

Corporate Summary
As one of the largest investor-owned companies in the U.S. utility sector, PPL Corporation delivers on its promises to customers, investors, employees and the communities we serve. Our utilities – Western Power Distribution, Louisville Gas and Electric and Kentucky Utilities, and PPL Electric Utilities – provide an outstanding service experience for our customers, consistently ranking among the best in the United States and the United Kingdom. PPL has grown from a company with customers and facilities in one region of Pennsylvania to a diverse energy company with more than 10 million customers in the U.S. and the U.K. PPL provides energy for millions of customers while providing challenging and rewarding careers for thousands of employees around the U.S. and abroad. Follow PPL Corporation on social mediaTwitter: @PPL_Corporation (https://twitter.com/PPL_Corporation)LinkedIn (https://www.linkedin.com/company/ppl-corporation)Follow PPL Electric Utilities on social mediaTwitter: @PPLElectric (https://twitter.com/PPLElectric)Facebook (www.facebook.com/PPLElectric)
Apply Now: click Apply Now"
Data Scientist,Spectrum Communications and Consulting,3.9 ★,$105k-$164k(Glassdoor est.),"– Chicago, IL","What’s significantly better than working on a typical data science team? How about working on a data science team in which you’re directly making an impact in the revolutionary field of artificial intelligence even as an entry level team member? (well, statistically significant that is). Pardon the pun, but at Spectrum we’re certain that our team is pumped up to work not only with like-minded data-savvy and fun loving professionals, but also to work with cutting edge new tools like our predictive, artificially intelligent proprietary software. So, if your confident that you want to make a direct impact in your next job today, then please keep on reading.

Responsibilities

Beyond working with state of the art technology you will have many different fantastic projects to work on as a Data Scientist at Spectrum. Here are just a few different responsibilities you can expect off the bat:
Work with IT teams, management and/or data scientists to determine organizational goals
Mine data from primary and secondary sources
Clean and prune data to discard irrelevant information
Analyze and interpret results using standard statistical tools and techniques
Pinpoint trends, correlations and patterns in complicated data sets
Identify new opportunities for process improvement
Provide concise data reports and clear data visualizations for management
Some Characteristics That Define You

We understand that as a Data Scientist for Spectrum, you have many different professional goals and personal interests. As such here are just a few different things that typically define our team members on the Data Science team:
Analytical. In order to solve problems and build innovative new digital marketing campaigns, it is essential that you know how to take an idea and analyze it from all of its angles.
Patient. As a data scientist, you know that you work with extremely large data sets on a daily basis. As such we are looking for someone who is not only meticulous, but patient enough to sit and sift through that data in a thorough way.
Creative. Beyond just analyzing data sets, you are an explorer and a puzzle solver. Pulling insights out of your data and understanding how those insights can better shape our tools is something that you live to do.
Student. More so than most industries, the field of data science is always changing and evolving. As such, you are always looking to learn new things and gain new skills.
Business-Savvy. Beyond the wicked data science skills you bring to the table, we also want you to consider the business implications of our data tools. From the ways our team will use them to how our customers will use them, we always want you to keep the user and the business application in mind.
Required Skills and Experience

On top of the many intangible skills you bring to the table, there are many skills that can help improve the efficiency and success of your work at Spectrum. Here are a few of those required skills and experience that you will come in with as a Data Scientist on our team:
A bachelor’s degree/pursuing a bachelor's degree in computer science, mathematics, statistics, information systems, or a related field
Experience with statistical modeling
Fundamental knowledge of R and/or SAS languages
Experience with SQL databases and database querying languages
Experience with data mining and data cleaning
Experience with data visualization and reporting techniques
Written and verbal expression
Benefits

As a Data Scientist at Spectrum there are a ton of fantastic perks and benefits that come along with your work. Here are just a few of the benefits you can expect when joining the Spectrum family:
Comprehensive medical & dental insurance
Retirement planning & company matching
Generous PTO, including sick days & holidays
A state-of-the-art office environment
Nintendo Switch in-office gaming such as FIFA, Arms, Mario Kart, and Rocket League
Year-round gym memberships
Paid continuing education
Casual dress code
Flexible scheduling
Free-Lunch-Friday
Company sponsored parties and group activities outside of the office
To apply to this job, click Apply Now"
Entry Level Data Analyst,The Marston Center,,,,"Entry level data analyst who collects and stores data on warehouse operations functions or other operational key indicator behaviors. Bring technical expertise to ensure the quality and accuracy of data, then process, and present in ways to help operations staff make data base decisions. Clear understanding of Microsoft Office products such as Excel, PowerPoint, and Word. Understands basic level of inventory data management. Covers front office presence through attending to onsite vendor deliveries, executing product check in and sign off. Maintain warehouse supply inventory for the purpose of tracking, ordering, and restocking where needed. Work with Operations Staff for any other tasks in support of operations excellence.
Beginning Wage: $13.00 to $15.00 per hour
Benefits: Health, Vision, and Dental. Employer pays 80%.
Action Required: Send a 1-2-page resume with references and picture if possible to:
TMC
677 Woodland Sq. Lp. SE
Lacey, WA 98503
Fax: 360-352-8868"
Data Analyst (Entry Level),Vertafore,3.1 ★,,"– Greenwich, CT, US","• Work with internal client facing teams on broker/carrier analytics and reporting
Perform data analysis by means of data interpretation, and execution of advanced database queries using Tableau, MySQL, Amazon Redshift, Excel, R, Python and other database technologies or programming languages as appropriate. Identify, analyze, and interpret trends, patterns or insights in result sets
Work independently, or in teams on complex level data gathering, checking, manipulation, analysis, reporting and data quality assurance tasks with minimal supervision
Develop analytical model for reporting and mining insights for business development activities using conventional or visualization tools
Define and develop platform data quality checks or assessment for purposes of enhancing the RiskMatch service in support new prospects or existing clients.
Develop and document rules, integrity and consistency checks
Troubleshoot and recommend solution to technical problems
Perform other duties as the company evolves

• Professional/Hands-on experience with SQL, EXCEL, and interactive data visualization tool like Tableau. If you have not written and executed complex SQL queries, please do not apply
Deep understanding and working knowledge of relational structures, and reporting techniques and practices
Strong communication and problem solving skills, a positive attitude and the ability to work with external clients as required
Nice to have: knowledge of statistical concepts and, ideally, supervised learning machine-learning algorithms
Nice to have: Property & Casualty Insurance experience
Start your job application: click Apply Now"
Data Scientist (Entry Level),Vectra Networks,4.3 ★,$118k-$167k(Glassdoor est.),"– San Jose, CA","Vectra Networks delivers a new class of real-time threat detection and advanced analysis of active network intrusions. Vectra Networks picks up where perimeter security leaves off using AI to provide deep, continuous analysis of both internal and Internet-facing network traffic for all phases of the attack progression as attackers attempt to breach, spy, spread, and steal within networks.

Vectra directly analyzes network traffic in real time using combination of patent-pending data science, machine learning, and behavioral analysis to detect attacker behaviors and user anomalies in the network. All detections are algorithmically correlated and prioritized to show an attack in context, and Vectra Networks' machine learning adapts as attacks evolve.

Position Overview:

Apply cutting edge machine learning, artificial intelligence, and modeling techniques to identify hackers as they attack networks. Support research into new approaches in applying AI to network traffic. As part of the data science team you will impact the product by helping to develop the core algorithms that detect malicious and anomalous behaviors on the network.

Requirements:
BS/BA in Computer Science, Engineering, or similar computational discipline, e.g. physics, mathematics, or statistics
Strong mathematics, computation, and/or statistics foundation.
Basic experience with applying machine learning and/or statistical modeling to real world problems
Python programming experience
Object oriented programming: C++, Java, or equivalent
Desired Experience:
Computational programming experience: R, Python/Pandas, Matlab/Octave
Spark or Map Reduce
SQL and noSQL database experience
Linux
Source control experience, preferably GIT"
Scientist 1,Progenity,3.6 ★,$58k-$84k(Glassdoor est.),"– Ann Arbor, MI","JOB DESCRIPTION
Responsible for conducting experiments aimed at developing human genomics-based products for the NIPT, carrier screening, women’s health, and human disease molecular diagnostics industries. Activities include developing and carrying out well planned and controlled experiments. Data analysis activities are also practiced according to approved organizational standards followed by determination of future experimental and assay development activities resulting from such analyses. Experimentation will be aimed at implementation and optimization of technologies and completing the development and verification/validation of new Laboratory Developed Tests (LDTs).

RESPONSIBILITIES
Responsible for creation of experimental designs, protocols, engineering designs, plans, and procedures with minimal supervisory input. Independently executes defined protocols, procedures, and data analysis plans.
Conducts experiments that are comprehensive in nature with results that can have a large departmental impact on one or more projects.
Industry knowledge or demonstrated technical capability applicable to unit of work. Extensive product knowledge or technical expertise in focus area. An advanced degree with demonstrated active learning skills may replace extensive product knowledge.
Train/mentor new/entry level associates in the unit of work or technical subjects.
Developing as a subject matter expert in a defined discipline. Able to summarize, analyze, and convey complex information clearly and adjust communication to the audience.
Regular use of outside sources of ideas and information (scientific literature, patents, regulatory body websites, industry best practice) to keep current in area of expertise.
Responsible for, with increasing accountability for, creation and review of experimental designs, protocols, engineering designs, plans, procedures, product/process documents, and reports to achieve business objectives.
May be accountable for lab work or unit of work carried out by other Associates. Leads by example in following all policies, procedures as required and proactively identifies and remedies problems.
Leads/facilitates technical discussions and decision making within discipline/department as well as cross functionally.
Authors and drives requirements definition for assigned unit of work.
Has in-depth understanding of risk management concepts and is capable of assessing product, process, project, and schedule risks across unit of work. Able to remove simple or moderately complex road blocks within unit of work.
Drives process improvement ideation, implementation, and sustainment within department. May also be involved in driving broader scale improvement initiatives.
Has awareness of industry standards and regulations and how they relate to internal policies and procedures. Influences interpretation of internal policies and procedures to ensure quality and compliance.
Accountable for decisions within unit of work. Uses sound judgment and thinks through impacts of situations and options.
Identifies, assesses risk, and proposes correction/corrective action to resolve issues. Diagnosing symptoms and getting to root cause within unit of work. Establishes troubleshooting standards within unit of work.
Authors and drives implementation and execution of work instructions/standard work.
Identifies opportunities, offers solutions, and participates in execution for product and process improvements within the function and department. Looks beyond the obvious symptoms to uncover root cause issues and prioritizes problems for solutions based on highest impact.
Communicates effectively across functions and external partners. Works collaboratively across the business. Motivates and engages team mates by asking for input and listening to other ideas.
Has ability to influence tactical decisions within their department and across functions within product line.
Technical lead within unit of work. May be a primary or extended Core team member.
REQUIREMENTS

Education/Certifications
BS, MS or Ph.D. degree in life science field with a molecular biology/genomics focus. Ph.D. preferred and other exceptional candidates will be considered.
Work Experience
Extensive Laboratory-based experimentation
Previous industrial experience preferred.
Required Skills, Knowledge, and Abilities
Extensive experience in one or more of our technology platforms (molecular biology, genomics, next-generation sequencing, protein chemistry, bioinformatics, etc.) required.
Clear written and oral communication skills.
Ability to multi-task and prioritize effectively.
Start your job application: click Easy Apply"
Entry Level Data Scientist,IBM,3.6 ★,$83k-$119k(Glassdoor est.),"– BATON ROUGE, LA, US","Job Description
IBM Global Business Services (GBS) is a team of business, strategy and technology consultants enabling enterprises to make smarter decisions and providing unparalleled client and consumer experiences in cognitive, data analytics, cloud technology and mobile app development. With global reach, outcome-focused methodologies and deep industry expertise, IBM GBS empowers clients to digitally reinvent their business and get the competitive edge in the cognitive era in over 170 countries.
Bottom line? We outthink ordinary. Discover what you can do at IBM.

You will be able to gain valuable on the job training while building in-demand technical skills. Our clients are some of the worlds leading companies and you will be part of challenging projects to build and support technical solutions for their needs. As a Data Scientist, you will be expected to take on challenging project work designing, building, testing and supporting technical solutions. Successful Data Scientists are self-motivated, success driven, and looking to make a difference in the world. They posses skills in the disciplines of Computer Science, Engineering, Information Systems Decision Sciences, Information Systems, Math and other related faculties, particularly software development or application management and development.

The IBM Client Innovation Center is an in-bound delivery model where we support our clients from our East Lansing center. However, some travel is expected and all candidates must be willing and able to travel to meet our client needs across the US. Travel is typically related to knowledge transfer and training at the client site (Monday thru Friday). You are expected to travel approximately 50% of the time. This is a traditional office position. You must live in, or be willing to relocate to, LOUISIANA. The work location is 100 North St, Baton Rouge, LA 70802. This is not a work from home position.

BENEFITS
Health Insurance. Paid time off. Corporate Holidays. Sick leave. Family planning. Financial Guidance. Competitive 401K. Training and Learning. We continue to expand our benefits and programs, offering some of the best support, guidance and coverage for a diverse employee population.

CAREER GROWTH
Our goal is to be essential to the world, which starts with our people. Company wide we kicked off an internal talent strategy program called Go Organic. At our core, we are committed to believing and investing in our workforce through:
Skill development: helping our employees grow their foundational skills
Finding the dream job at IBM: navigating our company with the potential for many careers by channeling an employees strengths and career aspirations
Diversity of people: Diversity of thought driving collective innovation
In 2015, Go Organic filled approximately 50% of our open positions with internal talent that were promoted into the role.

CORPORATE CITIZENSHIP
With an employee population of 375,000 in over 170 countries, amazingly we connect, collaborate, and care. IBMers drive a corporate culture of shared responsibility. We love grand challenges and everyday improvements for our company and for the world. We care about each other, our clients, and the communities we live, work, and play in!
http://www.ibm.com/ibm/responsibility/initiatives.html
http://www.ibm.com/ibm/responsibility/corporateservicecorps
Required Technical and Professional Expertise
Basic knowledge and/or experience in the following areas:
Statistics, Mathematics, Machine Learning, Data Modeling
Required education must be completed prior to start of employment.
Preferred Tech and Prof Experience
SQL,
Data modeling or SAAS - experience is a plus.

EO Statement
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
"Data Analyst, Entry Level (Graduate Degree)",PayPal,3.7 ★,$72k-$97k(Glassdoor est.),– San Jose,"Job Description Summary:

At PayPal, we’re literally reinventing how the world pays and gets paid. We understand that it’s about our customers. We connect individuals to let them shop, get paid, donate and send money using today’s technology with the confidence that comes from the security and control PayPal enables. Are you ready to help us change the world?

The world’s leading payments company, PayPal brings together a family of brands that are revolutionizing the way people move money. At PayPal you will be immersed in an amazing community with a vibrant culture that thrives on innovation, collaboration, inclusion and wellness.

Job Description:

The position will part of a global analytics organization with many options for future career growth at PayPal. We're looking for analysts that go above and beyond simply providing reports and analyses to consulting on product design and customer experience. This person will generate insights by conducting extensive analyses of PayPal’s rich data. In the process, this person will develop a deep understanding of the payments businesses, our site functionality, further strengthen their analytic, leadership, and presentation skills, and gain exposure to a wide variety of functional teams within PayPal.

Qualified candidates will graduate with their Master's degree between December 2017 and August 2018.

Basic Requirements:
Master's degree in Computer Science, Math, Statistics, or related field from an accredited college or university
4+ years Java experience
Expertise required in object-oriented design methodology and application development in Java.
Excellent understanding of computer science fundamentals, data structures, and algorithms.
Excellent problem solving skills.
Solid data mining and machine learning expertise required, DB/data warehouse expertise desired.
Familiarity with search/recommendation/classification applications and domains preferred.
Information Retrieval (search/recommendation/classification) experience or Human Judgment/User Interface experience.
Position Location: Varies

Subsidiary:

Travel Percent:

0

Primary Location:

San Jose

Additional Locations:

Austin, Boston, New York, Scottsdale, Timonium"
Data Scientist (Entry Level),HIRECLOUT,5.0 ★,,"– Los Angeles, CA","Data Scientist (Entry Level)

Want to work on a profitable, data-focused product with a small friendly, tight-knit team? Want to put your studies in Machine Learning and Data Science into practice for real business problems.

Our client is seeking an Entry Level Data Scientist to participate in activities across the data science lifecycle: business case definition, data collection, cleaning, integration, analysis, visualization, feature engineering, modeling with machine learning algorithms, interpreting the models/results, and reporting.

This role will provide exposure and mentorship in the areas of Data Science and Machine Learning.

Qualifications:
Master’s Degree in Computer Science, Engineering, Statistics or other quantitative fields
Theoretical knowledge of Machine Learning, Algorithms, Statistics, etc.
Basic coding ability in Python or R
Programming skills with Java or Scala is a plus
Full cycle machine learning engine implementation via internship or school project

#LI-JL1"
New Grad - Arity - Junior Data Scientist,Allstate,3.5 ★,$79k-$114k(Glassdoor est.),"– Chicago, IL","Where good people build rewarding careers.

Think that working in the insurance field can’t be exciting, rewarding and challenging? Think again. You’ll help us reinvent protection and retirement to improve customers’ lives. We’ll help you make an impact with our training and mentoring offerings. Here, you’ll have the opportunity to expand and apply your skills in ways you never thought possible. And you’ll have fun doing it. Join a company of individuals with hopes, plans and passions, all using and developing our talents for good, at work and in life.
Arity

Arity is a new technology company that uses advanced predictive analytics to help partners evaluate risk and make sense of everyday experiences. Our proprietary algorithms analyze billions of data points, distilling the flood of information into simple, actionable insights. Chief among these is the Arity Driving Score, which models billions of miles of driving and claims data to assess risk, gauging each driver’s likelihood of an event. Founded by The Allstate Corporation, an organization synonymous with protection and preparation, Arity is born from a long-standing commitment to deep customer understanding and future-focused innovation. Fueled by the curiosity of a startup, our expertise begins with connected car, providing applied insights that meet insurer and transportation/mobility company needs and enhance driver safety, connectivity and value. Don’t miss this opportunity to join a team where your innovative thinking and technology skills can improve the safety of those on the road and further enhance the car-ownership experience.

Job Description

Job Family Summary:

Arity Data Science and Analytics is responsible for aligning with and contributing to corporate objectives by identifying and developing growth and profitability opportunities that will enable Arity to generate profitable market share growth. The Data Scientist family is accountable for using data to make decisions, which includes building predictive models and developing new machine learning techniques that enable Arity to make better decisions to achieve its goals. The Data Scientist Family requires Analytic Agility, the ability to quickly learn new modeling/machine learning techniques, programming languages, and see how these ideas can integrate to optimize the business.

Job Summary:

The Junior Data Scientist position is an entry level role with a target start date in January or Summer 2019.This role is responsible for leading the use of data to make decisions. This includes: The development and execution of new machine learning predictive modeling algorithms, the coding\development of tools that use machine learning/predictive modeling to make business decisions, searching for and integrating new data (both internal and external) that improves our modeling and machine learning results (and ultimately our decisions), and discovery of solutions to business problems that can be solved through the use of machine learning/predictive modeling.

Key Responsibilities
Uses best practices, with coaching, to develop statistical, machine learning techniques to build models that address business needs
Uses and learns a wide variety of tools and languages to achieve results (e.g., R, SAS, Python, Hadoop)
Collaborates with the team in order to improve the effectiveness of business decisions through the use of data and machine learning/predictive modeling
Innovates on projects by using new modeling techniques or tools
Contributes on a wide variety of projects
Executes on modeling/machine learning projects effectively
Communicates findings to team and leadership ensure models are well understood and incorporated into business processes
Works with leaders to ensure the project will meet their needs
Maximizes personal professional development to ensure continuation of a personal contribution to the team
Qualifications
Start Date: January/Summer 2019
Working towards and will be completing a Bachelor's degree in a quantitative field such as statistics, mathematics, computer science, finance or related discipline
Ability to analyze and interpret moderate to complex concepts
Ability to provide written and oral interpretation of highly specialized terms and data, and ability to present this data to others with different levels of expertise
Demonstrated Analytic Agility
Preferred Qualifications:
Master’s or PhD.
Experience in using statistical modeling and/or machine learning techniques to build models that have driven company decision making
Experience in managing and manipulating large, complex datasets
Experience in working with statistical software such as SAS, SPSS, MatLab, R, CART, etc.
Ability to code and develop prototypes in languages such as Python, Perl, Java, C
Knowledge of advanced modeling techniques

The candidate(s) offered this position will be required to submit to a background investigation, which includes a drug screen.

Good Work. Good Life. Good Hands®.

As a Fortune 100 company and industry leader, we provide a competitive salary – but that’s just the beginning. Our Total Rewards package also offers benefits like tuition assistance, medical and dental insurance, as well as a robust pension and 401(k). Plus, you’ll have access to a wide variety of programs to help you balance your work and personal life -- including a generous paid time off policy.

Learn more about life at Allstate. Connect with us on Twitter, Facebook, Instagram and LinkedIn or watch a video.

Allstate generally does not sponsor individuals for employment-based visas for this position.

Effective July 1, 2014, under Indiana House Enrolled Act (HEA) 1242, it is against public policy of the State of Indiana and a discriminatory practice for an employer to discriminate against a prospective employee on the basis of status as a veteran by refusing to employ an applicant on the basis that they are a veteran of the armed forces of the United States, a member of the Indiana National Guard or a member of a reserve component.

For jobs in San Francisco, please click ""here"" for information regarding the San Francisco Fair Chance Ordinance.

For jobs in Los Angeles, please click ""here"" for information regarding the Los Angeles Fair Chance Initiative for Hiring Ordinance.

It is the policy of Allstate to employ the best qualified individuals available for all jobs without regard to race, color, religion, sex, age, national origin, sexual orientation, gender identity/gender expression, disability, and citizenship status as a veteran with a disability or veteran of the Vietnam Era."
