name,company,company_review,est_salary,location,description
Lead Software Engineer,Accessible Solutions,5.0 ★,Employer Provided Salary:$95k-$110k,"– Cocoa, FL","Accessible Solutions (ASI) develops software solutions for the aging services industry. This includes meals on wheels organizations, homecare providers, senior centers, adult day providers and more. Our customers are primarily in the United States, but we do have some customers in Canada as well. We are most known in the Meals on Wheels industry as having a best in class product.
ASI is in a prime position for growth and we are developing our next generation products to ensure our market position continues increase. We are looking for a lead engineer that will help support existing technologies and play a significant part of designing and building our next generation solution. We don't expect you to know everything coming in, but we do expect very strong skillsets in certain technologies. We’ll outline those below.
Our preference is to have someone working locally from our Merritt Island, Florida office. Just 10 minutes from the beach!

What you'll do
Architect and create new products, ranging from discussing wire-frames to creating the data model and deploying the end result.
Maintain existing desktop applications and web applications.
Build features in our current stack (C#, ASP.NET MVC Core 2, Web API, WCF, WPF, and SQL Server).
Measure, optimize, and scale our current infrastructure.
Ship regularly.
Skills & Requirements

What we're looking for...
First and foremost, you have a very strong foundation in C# and SQL.
You are at home on a Microsoft stack.
You have experience working with Microsoft Azure Cloud Platform.
You know how to design and optimize a relational database schema for performance.
You are comfortable with distributed version control systems such as Git or Virtual Studio Team Foundation Server.
You have desktop and server side development experience.
You have experience designing and building APIs (RESTful or otherwise).
You have a good grasp of concurrent programming.
You have experience with PowerShell or are excited to learn PowerShell
You’re motivated, self-directed, and are a good communicator.
Locally based employment, so please do not apply if you are not currently based within the US.
What to expect when you apply...
We may submit entry level tests to validate basic math and coding skillsets.
A more advanced test will be required prior to an interview.
We do not expect a 100% grade on the test. This establishes a base line of your current knowledge in a few key areas that will be used for additional discussions.
Phone interviews with lead engineer and the president of the company.
Onsite interviews with management team.
Frameworks we use... You should be comfortable with many if not most of the following and be excited to learn the rest.
NET MVC Core 2
Web API
Net
Entity Framework
Net
LINQ
Moq
MsTest / XUnit / NUnit
Reactive Extensions
Simple Injector / Unity
Task Parallel Library (and async / await)
WCF
WPF
Bonus Points If...
You know your way around IIS and Windows Server.
You know how to write high quality unit tests.
You are passionate about programming and contribute to open source projects.
You are familiar with the MVVM and dependency injection design patterns.
You have some knowledge of client-side web development (ASP.NET MVC and Javascript).
You have worked with Microsoft Dynamics (or comparable) CRM
About Accessible Solutions What we offer...
A low ego environment where you can give and receive direct feedback.
Transparent leadership that openly shares the thinking behind company direction and strategy.
A flat organization where you are encouraged to contribute to company direction and strategy.
The opportunity to help shape the future of our industry.
A flexible work environment: our preference is office-based work, but we understand that sometimes that doesn’t always work.
Medical benefits
Job Type: Full-time"
Software Engineer - University Graduate (Entry Level),Snowflake,4.7 ★,$62k-$103k(Glassdoor est.),"– Boston, Massachusetts","In January 2018, we launched one of the industry’s largest technical transformation projects, in effect building a new bank from the ground up. We’re using the same technologies that Silicon Valley giants are using: aggressive use of multiple public clouds, building our own private cloud to achieve even better performance, pushing out microservices into what will be one of the largest Kubernetes installations in the world, leveraging immutable storage to process and store hundreds of terabytes of data per day, transforming our industry through application of distributed ledger technology and cognitive computing, aggressively participating in open-source communities that are driving our systems.
This isn’t a traditional banking role. This is a chance to push your technical skills with people who are more comfortable in a technology firm than an investment bank, and are solving real problems that affect anyone with any form of savings worldwide. We don’t expect you to wear a suit, we don’t expect you to not be able to tell your friends what you’re working on, and we don’t expect you to sit in meetings 5 hours a day.
Specifically, the Distributed Ledger Technology (DTL) team is responsible for developing the next generation mission-critical applications for the bank. This level of transformation can only be achieved with a complete ground up redesign. New technologies (blockchain, machine learning, CI/CD, microservices, clouds) mean you get to learn a lot more and opportunities to contribute into upstream open source projects.
Primary Responsibilities:
* Participating in agile development with team members.
* Applying Test Driven Development methodology to code.
* Engaging with lines of business, users and analysts to explore and prototype opportunities and use-cases.
* Continuously learning and proactively championing new technical methods relevant to the project.
Required Qualifications:
* Bachelor’s degree (or higher) in Computer Science or related field.
* Solid understanding of some high level programming languages.
* A natural problem solver.
* Strong communication and interpersonal skills.
* Preferred skills in Kubernetes, Docker, Git, Jira, Agile methodologies.
* Preferred knowledge of Distributed ledger technologies.
Start your job application: click Apply Now"
Software Engineer,GolfNow,4.1 ★,$67k-$111k(Glassdoor est.),"– Orlando, Florida","Software Engineer
44126BR
Sales
NBC Sports Group
Responsibilities
We are seeking an entry level Full-Stack ASP.NET Software Engineer to work collaboratively with a highly talented cross-functional team to deliver best-in-class e-Commerce websites. The ideal candidate communicates well and has a passion for developing robust, high-performance, scalable code using the latest technologies.
Qualifications/Requirements
• Understanding of how an Agile Development Environment operates
• Proven record of gathering requirements and communicating project status
• ASP.NET/C# experience
• Experience with Web Services
• Demonstrated understanding of how an MVC application works
Experience HTML, CSS, Javascript
• Experience fronted frameworks (Angular, Ember, React)
• SQL Server Experence
• Experience developing a CMS
Sub-Business
Golf
Career Level
Experienced
City
Orlando
State/Province
Florida
Country
United States
About Us
At NBCUniversal, we believe in the talent of our people. It’s our passion and commitment to excellence that drives NBCU’s vast portfolio of brands to succeed. From broadcast and cable networks, news and sports platforms, to film, world-renowned theme parks and a diverse suite of digital properties, we take pride in all that we do and all that we represent. It’s what makes us uniquely NBCU. Here you can create the extraordinary. Join us.


GolfNow, a division of Golf Channel is the internet’s largest online tee time reservation service, trusted by more than 1.5 million golfers. Using leading-edge technology, GolfNow provides more ways for golfers to stay connected to their favorite golf courses and tee times through the web, e-mail and mobile applications. As a partner to golf courses, GolfNow provides turnkey solutions to their operations (www.golfnowsolutions.com) with the main areas of focus on:
Online marketing and distribution of tee times
Web hosting, development and customer management solutions
Revenue optimization, database expansion and other course products
Notices
NBCUniversal’s policy is to provide equal employment opportunities to all applicants and employees without regard to race, color, religion, creed, gender, gender identity or expression, age, national origin or ancestry, citizenship, disability, sexual orientation, marital status, pregnancy, veteran status, membership in the uniformed services, genetic information, or any other basis protected by applicable law. NBCUniversal will consider for employment qualified applicants with criminal histories in a manner consistent with relevant legal requirements, including the City of Los Angeles Fair Chance Initiative For Hiring Ordinance, where applicable.
To apply to this job, click Apply Now"
Software Developer,CIC Plus,4.8 ★,,"– Puyallup, WA","Are you a rockstar software developer?

CIC Plus can use your technical prowess and your passion for writing code as a member of our software development team. The software development team develops, modifies, enhances, and implements complex systems. As a part of the team, you’ll help with developing solutions to meet specification criteria and also maintain the current code base.

What we’re all about?

We are a leading-edge technology company with a mission to improve the lives and careers of HR, payroll, and benefits organizations through the use of our industry-leading employer compliance management solutions that improve the employee experience and drive HR efficiency with the support of best-in-class client service. Our clients include some of the world’s largest and most innovative brands.

At CIC Plus, we are a collaborative team that believes that having fun and passion for what you do helps deliver the best results for our clients. We treat our colleagues and clients with integrity. We have a laser-like focus on our clients’ needs to ensure we deliver innovative solutions that solve their toughest business challenges. We want to work with colleagues who feel the same way and share these values.

What’s involved?

This role will allow the Software Developer to work with the entire stack of our web-based system. You will join an innovative team responsible for delivering solutions built for sustainability, security and performance. Be part of our exciting, fast-paced team, and be proud of building solutions that drive technology to meet evolving HR industry demands.

Qualified members of the software development team must be able to do the following effectively:
Write code proficiently in C# & JavaScript/jQuery
Have a working knowledge of MVC 5 (C#)
Have a working knowledge of JavaScript/jQuery & CSS
Write and maintain complex SQL queries, updates and delete statements in T-SQL
Windows Forms (C#)
Assist with troubleshooting enterprise application issues to resolve production problems
Coordinate between Operations and Development for errors that occur in the software
Assist with planning, scheduling, implementing, and monitoring routine tasks required for daily business operations
Utilize approved tools and processes for application support and ensure compliance of others
Have excellent communication and teamwork skills
What are the qualifications?

This is not an entry level position. To be successful in this role, the candidate needs experience in a number of areas. If you believe you have the following skills (or most of them), then we’d love to hear from you.
Design and implement solutions using C#, ASP.NET (MVC and Windows Forms)
Good knowledge of JavaScript and jQuery
Ability to perform code reviews and provide critique
Ability to perform research and troubleshoot application and data issues
Ability to test and provide documentation for internal use
Ability to independently perform research to solve basic to moderately complex technical issues
Working knowledge of client-server concepts
General knowledge of business and/or systems analysis
Ability to work on cross-functional teams that may form and disband quickly
General knowledge of TCP/IP protocol and troubleshooting tools
Must possess the ability to learn and understand business processes and relationship of systems and applications used to accomplish those processes
Proficient, analytical, decisive, troubleshooting skills
Ability to write clear instructions for end users
How do I apply?

Please email your resume to jobs@cicplus.com with the following information:
Compensation expectations
Available start date
How you heard about us
Cover letter (Preferred but not required, we’d love to get to know you outside of the resume.)

Please note CIC Plus will not sponsor, obtain, and/or petition for temporary visa status for candidates applying to this position.
Start your job application: click Easy Apply"
Entry Level Software Engineer,Star Cutter,2.7 ★,$55k-$80k(Employer est.),"– Hoffman Estates, IL","Role

The role of our CNC Controls/Software Engineer is to service all machines sold by Star SU which include (but not limited to) runoff, installation, training customers, warranty support and additional support based on customer needs after machine warranty expires both domestic and international.

Responsibilities
Control integration to external automation, RFID and FIS integration, customer training, software changes and updates as well as retrofits of FFG Modul gear hobbing, chamfer/deburring, Samputensili gear grinding and gear shaving, FFG turning and metal cutting machine tools, plus additional machine tools as required
Interpretation of error messages and systematic trouble-shooting and repair
Customer contact and support via phone, e-mail and remote online communication to machine PC
PLC/ladder software design and development with Step 7 Siemens and Ladder Logic for Fanuc CNC controls and understanding of high level language (C++, C#, etc.)
Ability in CNC configuration and programming, understanding of HMI designs
Translate customer functional requirements into maintainable code
Design, program, and debug basic PLC/ladder features
Read and understand basic electrical and fluid power schematics
Work closely with the OEM’s and Automation suppliers software and control engineering on software developments and implementation
Willingness to travel up to 50-60%. The position could also involve customer machine acceptance and training at the OEM in Europe and therefore will require a valid passport
Candidates must be legally authorized to work in the United States on a permanent basis. Verification of employment eligibility will be required at the time of hire. Visa sponsorship is not available for this position
Knowledge and Skills
Ability to read mechanical, pneumatic, electric and hydraulic prints
Customer support oriented understanding
Ability to work systematically and independently
Knowledge of various control systems (Siemens 840D and Fanuc)
Good communication and organization skills
Knowledge of spindle and axis drives on CNC machines
Understanding of ISO CNC G and M code programming
Basic troubleshooting skills in electrical, PLC, or CNC systems
Education Requirements
Bachelor's Degree in Electrical or Computer science or related field from four-year college or university (or equivalent experience)
Experience Requirements
Entry level to 2 - 4 years’ experience (not including education)
Some experience in a related gear industry and knowledge in the field of gear technology
Experience with Siemens Step 7 or Siemens 840D Controls (some Fanuc)
Apply Now: click Easy Apply"
Software Engineer,Intel,3.8 ★,$104k-$166k(Glassdoor est.),"– Santa Clara, CA","Job Description

Software Engineers conduct or participate in multidisciplinary research and collaborate with design, layout and/or hardware engineers in the design, development, and utilization of productivity enhancement layout tools and design rule checkers, electronic data processing systems software. Determines computer user needs, advises hardware designers on machine characteristics that affect software systems such as storage capacity, processing speed, and input/output requirements, designs and develops compilers and assemblers, utility programs, and operating systems. Responds to customer/client requests or events as they occur. Develops solutions to problems utilizing formal education, judgement and formal software process.

This is an entry level position and will be compensated accordingly.

Qualifications

You must possess the below minimum qualifications to be initially considered for this position. Preferred qualifications are in addition to the minimum requirements and are considered a plus factor in identifying top candidates. Experience listed below would be obtained through a combination of your school work/classes/research and/or relevant previous job and/or internship experiences.

Minimum Qualifications:
Candidate must have a BS or MS degree in Computer Science, Computer Engineering or Electrical Engineering.
Bachelor's applicants must be U.S. Workers Only. A U.S. Worker is someone who is either a U.S. Citizen, U.S. National, U.S. Lawful Permanent Resident, or a person granted Refugee or Asylum status by the U.S. Government. Intel will not sponsor a foreign national for this position.
Bachelor's applicants with 2+ years of experience or Master's applicants with 1+ years of experience in programming languages such as C, C++, Python, Assembly, etc.
Preferred Qualifications:
Mac OS and Linux software development environment.
Use of Software Life-cycle
Inside this Business Group

The Intel Software and Services Group (SSG) connects Intel to the worldwide software community. SSG strives to bring competitive advantage to Intel platforms by helping independent software vendors, operating system developers, OEMs, channel members and systems integrators deliver exceptional customer value and achieve differentiation on Intel® processor technologies. SSG provides global leadership to the software community through its technical expertise, industry enabling activities, and developer products and programs.

Posting Statement

All qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance."
"Software Engineer, Entry-Level",Coursera,3.6 ★,$101k-$161k(Glassdoor est.),"– Mountain View, CA","Coursera is scaling a global platform to provide universal access to the world’s best education, and we’re motivated by the passion and mission to transform lives through learning. Our platform has reached over 30 million learners worldwide and we have partnered with 150+ elite universities around the globe with over 2,000 courses in our catalog. We offer Courses, Specializations, Certificates, and Degrees to meet the needs and goals of the diverse learners who to come Coursera.

In 2016, we began offering fully accredited online Masters degrees which provide a more convenient, lower-cost, “stackable” means of earning credentials identical to their traditional on-campus counterparts. We also launched Coursera for Business, partnering with enterprise companies around the world to provide access to curated skill development for their employees.
We are looking for software engineers who can have an immediate impact on our codebase and our mission. For this position, we are open to new graduates or professionals with less than one year of experience.

As an engineer at Coursera, you will be empowered to build well-engineered products that shape new platform features and advance our technical infrastructure. You will be encouraged to build reliable, scalable, testable, and efficient systems.

We innovate, productize, and iterate at start-up speed, deploying our code over 25 times a day. When you join our team, you will be given the opportunity to take ownership of significant parts of our codebase.
Some Cool Projects our Entry Level Software Engineers worked on:
VM-less Frontend Development, allowing frontend developers to develop JavaScript applications without installing the entire Coursera stack on our laptops
Scaling Content Production, building better tooling and visualization to simplify and accelerate the content creation process for our instructors
Rewriting the mobile download experience which boosted accessibility of downloads by creating a download widget on course outlines and wrote a downloads API to use throughout entire app
Building UI for a message inbox within the course experience, helping learners keep up-to-date with communications from course instructors and Coursera as they go through the course
Your Responsibilities
Rapidly innovate on products and scalable infrastructure with a fail fast mindset
Implement features using cutting edge technologies (i.e. React.js, Scala, Swift, Kotlin)
Work in a cross functional team of engineers, PMs, designers, and UX researchers
Own projects and drive scoping and prioritization decisions
Measure your work thoroughly, analyze results, and drive new product changes through A/B testing

Your skills:
Education in software engineering, computer science or a related field; either as your major or minor in college, as part of a coding bootcamp, or via taking courses, including some of our own
Experience in software engineering or related internships or experience with software engineering/computer science projects
Strong oral and written communication skills
Ability to work on a team and learn quickly
You personally exhibit a conviction that the world needs Coursera to be wildly successful and alignment to our core values:
Betterment: a tireless pursuit to drive results
Boldness: take risks and act decisively
Deep Honesty: invite and offer candid feedback in order to learn, change, and grow
Solidarity: recognize that we are part of something bigger than ourselves and are committed to our mission
To apply to this job, click Apply Now"
Software Development Engineer (Entry Level),Imperva,2.9 ★,$145k-$229k(Glassdoor est.),"– Redwood City, CA, United States","Cyber Security is a big deal. It’s in the news, growing rapidly, a critical tool for every company, and our specialty.

Imperva (NASDAQ: IMPV) is a leading provider of data and application security solutions that protect business-critical information in the cloud and on-premise. Our customers include leading enterprises, government organizations, SMBs and service providers who rely on Imperva products to securely deliver their websites and applications at lightning speed.

In August of 2018, Imperva acquired Prevoty, an innovator and leader in building application security that can block attacks and monitor interactions inside application stacks using DevOps and agile development. Together, Imperva and Prevoty will be able to protect the application and data from the network edge, into the application itself, and back to the databases.
Software Engineer, Java
Prevoty is looking for talented entry level and mid-career Software Engineers to join our Java team. As a member of our Java team, you will contribute to the design and development of our Java products. The ideal candidate will have a passion for development and will have a drive to fully understand the inner workings of each of the technologies they utilize.

As a fast-growing organization, we look for self-starters who thrive in a fast-paced, agile environment, which means wearing many hats, being able to change direction quickly, and showing an eagerness to learn new technologies as the need arises. In this role you will work with a small, collaborative team of software engineers, product managers, and QA/test automation engineers, so excellent interpersonal and communication skills are a must. We look for people that can prioritize, multi-task, and consistently deliver high quality in everything they create.

Primary Responsibilities
Participate in Agile software development projects performing tasks including coding, testing, debugging, documentation, peer-review
Participate in troubleshooting/task identification, work effort estimates, and work schedules for development and maintenance activities
Ensure that all tasks are performed in accordance with specific internal procedures and standards, as well as industry best practices
Ensure and demonstrate code quality through comprehensive and effective unit testing coverage
Collaborate with a cross-functional team of developers, product managers, quality assurance, support and operations
Qualifications
Solid understanding of software development within the Java/JVM ecosystem
Experience writing and debugging Java code
Experience with JEE, common web frameworks (Struts, Spring, etc) a plus
Proficiency with one or more web languages (Python, Go, Javascript, Ruby, PHP)
A solid understanding of how web applications work
An awareness and understanding of Computer Science fundamentals, design patterns and development best practices
Experience writing unit tests
A passion for getting to the bottom of issues and eliminating unknowns
Strong communication skills
A genuine desire to work collaboratively with teammates and stakeholders
BS/MS/PhD Computer Science or related degree
Location & Benefits

Position is located in Los Angeles. Competitive perks include equity, comprehensive health benefits, 401K and a lot more.

Our Company
Imperva® (NASDAQ: IMPV), is a leading provider of cyber security solutions that protect business-critical data and applications. The company’s SecureSphere™ and Incapsula™ product lines enable organizations to discover assets and vulnerabilities, protect information wherever it lives – on-premises and in the cloud – and comply with regulations. The Imperva Application Defense Center, a research team comprised of some of the world’s leading experts in data and application security, continually enhance Imperva products with up-to-the minute threat intelligence, and publish reports that provide insight and guidance on the latest threats and how to mitigate them. Learn more: www.imperva.com, our blog, on Twitter.

Rewards
Imperva offers a competitive compensation package that includes base salary, medical, employee stock purchase (ESP) programs, flexible time off and more. It’s an exciting time to work in the security space. Check out our products and services at www.imperva.com and career opportunities at www.imperva.com/careers

Legal Notice
Imperva is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, ancestry, pregnancy, age, sexual orientation, gender identity, marital status, protected veteran status, medical condition or disability, or any other characteristic protected by law.

#LI-AC1
To apply to this job, click Apply Now"
Entry Level - Software Engineer I,"DISTek Integration, Inc.",4.5 ★,$55k-$92k(Glassdoor est.),"– Cedar Falls, IA","DBQSE-2-3-2 - Entry level Software Engineer - grow your career

As our Software Engineer, you will join our team of dedicated engineers in the growing Iowa community of Waterloo/Cedar Falls or Urbandale. Your primary mission will be to architect, design, implement, and test the real time software that controls features found on both large and small off road vehicles. Your demonstrated knowledge and experience in model based system design and software product development, including C/C++ and Matlab/Simulink will be vital to your success. Understanding of other languages and requirements gathering will also help you succeed. If you have specific experience developing applications for automated controls, then you will feel right at home. Because you are a fast learner with the ability to work independently (as well as part of a small team of software, electrical, and system engineers), you feel comfortable in a role where you are expected to think out of the box and devise innovative solutions to complex control problems. Also, because you have strong communications skills, you have no problem providing local and remote technical support to engineering, manufacturing, operations, and service organizations. Ideal candidates will typically have a 4 year degree in computer engineering or software/electrical engineering or computer science. In exchange for your technical prowess you will be rewarded with challenging and high-impact projects that will pioneer new generations of large and small off road vehicles.

Would you like the exhilarating opportunity to design quality reusable software products used for agricultural, forestry, and construction industries? DISTek serves as a trusted engineering partner, working with customers by assisting in the development of specialized compact and efficient embedded systems, operator interfaces and displays, ECUs, electro-hydraulic controls and vehicle networks are just some of the projects you will enjoy. Our engineers also help our customers scale and grow over time by providing support, training, and on-site engineering services. We provide high-tech, challenging, and productive work environment while still retaining a small business atmosphere. DISTek is a company that upholds family values and common sense - two things that we believe will always carry us through the exciting challenges and opportunities we face. If you are motivated by the challenge to develop unique technology, seek a continuous learning environment, and are willing to enthusiastically contribute to our ongoing success, then please read on.

DISTek Integration, Inc. is a provider of electronic and product test systems. As an engineering system solutions provider, we partner with our clients to design smarter, safer and more sophisticated machines and their electronics systems. As experts in our core competencies of Modeling & Simulation, Embedded Software development and Automation & Test software, we pride ourselves in delivering innovative solutions to complex problems targeting the off-highway vehicle market. With several offices throughout the upper Midwest area, we are able to support our customers through the United States as well as those in other countries.

http://hiring.accolo.com/job.htm?id=454126884&sourceType=29"
Lead Software Engineer,Accessible Solutions,5.0 ★,Employer Provided Salary:$95k-$110k,"– Cocoa, FL","Accessible Solutions (ASI) develops software solutions for the aging services industry. This includes meals on wheels organizations, homecare providers, senior centers, adult day providers and more. Our customers are primarily in the United States, but we do have some customers in Canada as well. We are most known in the Meals on Wheels industry as having a best in class product.
ASI is in a prime position for growth and we are developing our next generation products to ensure our market position continues increase. We are looking for a lead engineer that will help support existing technologies and play a significant part of designing and building our next generation solution. We don't expect you to know everything coming in, but we do expect very strong skillsets in certain technologies. We’ll outline those below.
Our preference is to have someone working locally from our Merritt Island, Florida office. Just 10 minutes from the beach!

What you'll do
Architect and create new products, ranging from discussing wire-frames to creating the data model and deploying the end result.
Maintain existing desktop applications and web applications.
Build features in our current stack (C#, ASP.NET MVC Core 2, Web API, WCF, WPF, and SQL Server).
Measure, optimize, and scale our current infrastructure.
Ship regularly.
Skills & Requirements

What we're looking for...
First and foremost, you have a very strong foundation in C# and SQL.
You are at home on a Microsoft stack.
You have experience working with Microsoft Azure Cloud Platform.
You know how to design and optimize a relational database schema for performance.
You are comfortable with distributed version control systems such as Git or Virtual Studio Team Foundation Server.
You have desktop and server side development experience.
You have experience designing and building APIs (RESTful or otherwise).
You have a good grasp of concurrent programming.
You have experience with PowerShell or are excited to learn PowerShell
You’re motivated, self-directed, and are a good communicator.
Locally based employment, so please do not apply if you are not currently based within the US.
What to expect when you apply...
We may submit entry level tests to validate basic math and coding skillsets.
A more advanced test will be required prior to an interview.
We do not expect a 100% grade on the test. This establishes a base line of your current knowledge in a few key areas that will be used for additional discussions.
Phone interviews with lead engineer and the president of the company.
Onsite interviews with management team.
Frameworks we use... You should be comfortable with many if not most of the following and be excited to learn the rest.
NET MVC Core 2
Web API
Net
Entity Framework
Net
LINQ
Moq
MsTest / XUnit / NUnit
Reactive Extensions
Simple Injector / Unity
Task Parallel Library (and async / await)
WCF
WPF
Bonus Points If...
You know your way around IIS and Windows Server.
You know how to write high quality unit tests.
You are passionate about programming and contribute to open source projects.
You are familiar with the MVVM and dependency injection design patterns.
You have some knowledge of client-side web development (ASP.NET MVC and Javascript).
You have worked with Microsoft Dynamics (or comparable) CRM
About Accessible Solutions What we offer...
A low ego environment where you can give and receive direct feedback.
Transparent leadership that openly shares the thinking behind company direction and strategy.
A flat organization where you are encouraged to contribute to company direction and strategy.
The opportunity to help shape the future of our industry.
A flexible work environment: our preference is office-based work, but we understand that sometimes that doesn’t always work.
Medical benefits
Job Type: Full-time"
