company,longitude,latitude,city,state
Travelers Companies,77.19807000000003,28.537730000000067,New Delhi,
Reynolds and Reynolds,-95.50464993998541,29.85978002221705,Houston,TX
Sikich LLP,34.863060000000075,52.40250000000003,Simich,
Alternative Solar,-74.04522004385704,4.730750051070511,"Bogotá, D.C.",
hibu,11.931390000000022,60.53971000000007,,
IBM,12.964110000000062,48.06577000000004,Eggelsberg,
TRAM Inc,14.200000000000045,46.866670000000056,Traming,
Q5,13.269770000000051,-8.996599999999944,Viana,
Mars & Co,-107.59547896057072,37.223773627723375,Bayfield,CO
"Ryan, LLC",-83.49464999999998,41.64533000000006,Ryan,OH
Tefen,32.56552000000005,40.91700000000003,Eskipazar,
Oliver James Associates,76.95867000000004,11.025030000000072,Coimbatore,
K1 Investments LLC,28.583920000000035,-20.144199999999955,Bulawayo,
Apex Association,31.208270000000027,30.01156000000003,El Omranaia El Sharkaia,
FTI Consulting,-99.21236004053885,19.431389919499257,Miguel Hidalgo,
Penske Automotive Group,-83.5646900294303,32.81378007775959,Macon,GA
ConnectWise,-82.55064006347604,27.978070073430796,Tampa,FL
FAST,9.61322000000007,52.12820000000005,Salzhemmendorf,
"Bealstone, Inc.",72.85148000000004,19.220690000000047,Mumbai,
P2 Energy Solutions,55.15185000000008,25.092930000000024,Al Safouh Second,
Premier Global,-74.08388997994734,40.26669007891338,Asbury Park,NJ
2313 Inc,33.30164000000008,35.09544000000005,,
Score Marketing,18.465280000000064,-33.98162999999994,Cape Town,
The Salem Group,51.52977000000004,25.26267000000007,Al Doha,
Pathfinder Marketing,-79.95610003664369,39.62964001832193,Morgantown,WV
Acme Corrugated Box,-85.48902999999996,44.779990000000055,Acme,MI
DMC Atlanta,-84.39110999999997,33.74831000000006,Atlanta,GA
Arc Aspicio,-73.81836999999996,5.5146100000000615,Simijaca,
The Chemistry Group,25.93136000000004,-24.66369999999995,South East,
NTT DATA,77.72740000000005,12.981070000000045,Bengaluru,
Paylocity,70.75350000000003,22.295890000000043,Rajkot,
Efficio,-7.625369999999975,33.57880000000006,Casablanca,
Aquilent,,,,
Northland Controls,-92.38294999999994,42.510560000000055,Waterloo,IA
R.T. Moore,-97.48559999999998,35.33826000000005,Moore,OK
Vivint Solar,11.213460000000055,49.183890000000076,Hilpoltstein,
Vertex (Pennsylvania),-75.45715994388055,40.064550044434036,Berwyn,PA
PPL,37.61214007660572,55.740249959461195,Москва,
BTS,-1.7867899999999395,53.785150000000044,Bradford,
LGCY Power,-111.68727999999999,47.71230000000003,Power,MT
VISTRADA,-71.38820999999996,41.82911000000007,Providence,RI
Wipro,106.81563000000006,-6.144749999999931,Tamansari,
Triage Consulting Group,46.648610000000076,24.734120000000075,Riyadh,
Ortiz Enterprises,-0.09895999999997684,51.51420000000007,London,
CSCI Consulting,15.215469956142966,59.27157006939238,Örebro,
Gunther VW- Volvo of Coconut Creek,-80.20178999999996,26.283460000000048,Pompano Beach,FL
"Commissioning Agents, Inc.",87.23213000000004,23.576870000000042,Durgapur,
MHP - A Porsche Company,101.59137000000004,3.090050000000076,Shah Alam,
United Career Fairs,-97.404642,34.3855644955186,Ratliff City,OK
Kimberly-Clark,-95.93088999999998,35.97015000000005,Bixby,OK
Porsche,30.28723000000008,59.96062000000006,Санкт-Петербург,
MOBIZWIZ,,,,
NJ Business Associates,77.32500000000005,28.571990000000028,Noida,
Trellis,-0.3444999999999254,45.63307000000003,Salles-d'Angles,
RELX Group,75.93249000000003,17.68372000000005,Solapur,
3form,-86.48148004443395,42.10995008050085,Saint Joseph,MI
Tahzoo,174.77547000000004,-41.28587999999996,Wellington,
"Staffigo Technical Services, LLC",0.6783500000000231,51.545750000000055,Westcliff-on-Sea,
Morgan Borszcz Consulting,-111.67827999999997,41.03576000000004,Morgan,UT
Oracle,-110.76677999999998,32.61033000000003,Oracle,AZ
OneTrust,-92.56353994835257,35.373689948929616,Center Ridge,AR
Siemens PLC,-90.08491999999995,46.48084000000006,Bessemer Twp,MI
Weatherspoon Agency,-2.99100999999996,53.453040000000044,Bootle,
NewDay USA,-106.57196999999996,35.053420000000074,Albuquerque,NM
BlackTree Healthcare Consulting,-0.40713999999996986,51.47738000000004,Hounslow,
Orangetheory Fitness Frederick,-97.74561996335622,30.398879988891526,Austin,TX
Dimensional Insight,-2.1135199999999372,52.80322000000007,Stafford,
"Brown & Brown, INC.",-113.20191213824606,48.720679739168695,Browning,MT
Capitol City,-107.40160999999995,38.02090000000004,Capitol City,CO
Family Heritage,-71.44761999999997,43.061390000000074,Hooksett,NH
Brentwood Acquisitions Group,0.3035100000000739,51.62065000000007,Brentwood,
Porter Group,172.55792000000008,-43.47109999999998,Christchurch,
Sia Partners,55.16927000000004,25.100910000000056,Al Safouh Second,
Frederic W. Cook,-88.2457335,42.05736,Elgin,IL
Corporate Concepts,73.18063000000006,22.333470000000034,Vadodara,
Buck Global LLC,30.752180000000067,-25.109989999999982,Thaba Chweu,
US Energy Company,39.156310000000076,21.620400000000075,Jeddah,
Jacobs,-94.86215999999996,32.269600000000025,Jacobs,TX
Elsevier,-1.3099899999999707,51.83162000000004,Kidlington,
Aflac Incorporated,77.61400000000003,12.916420000000073,Bengaluru,
"The Marketing Organization, Inc.",101.39392000000004,13.758320000000026,Tha Than,
Surace-Smith,-119.32889999999998,38.79947000000004,Smith,NV
e3 Media,-75.38980999999995,39.917970000000025,Media,PA
Sun Tan City,-82.57467000230766,37.52764994113931,Pikeville,KY
Anderson Frank,-85.67847999999998,40.102160000000026,Anderson,IN
Papillon Group of Professionals,150.95541000000003,-33.868559999999945,Sydney,
Presidential Exteriors,72.51457000000005,23.037570000000073,Ahmedabad,
Phaidon International,75.60000000000008,18.616670000000056,Ïnt,
MAVERICK Technologies,80.14088000000004,13.123610000000042,Chennai,
Catapult Consultants,35.74094000000008,33.91116000000005,El Mrouj,
The Church of Jesus Christ of Latter-day Saints,-78.47389999999996,38.02403000000004,Charlottesville,VA
SDL plc,-74.05856999999997,4.859160000000031,Chía,
The Arias Agencies,73.01777000000004,19.070230000000038,Navi Mumbai,
Dealer Inspire,-49.28992999999997,-25.492019999999968,Curitiba,
Signature,-2.746499999999969,54.322910000000036,Kendal,
Legacy Group Enterprises,-85.79704031666483,31.338055916730728,Enterprise,AL
TalentRise,4.488260000000025,45.37340000000006,Tarentaise,
Susten Solar,8.447190000000035,46.72941000000003,Innertkirchen,
Goldenwest Diamond Corporation,72.81648000000007,18.95365000000004,Mumbai,
Morrison Hershfield,-106.80612998499633,32.297900029430394,Las Cruces,NM
LA Fitness,-0.612549999999942,53.20085000000006,Lincoln,
Roc Search US,-91.74016999999998,35.25081000000006,Searcy,AR
Solar Company,73.01364000000007,19.259570000000053,Bhiwandi,
KBKG,-118.13426999999996,34.14585999105593,Pasadena,CA
Carpenter Technology Corporation,-75.98449995325831,40.35479999105591,Reading,PA
Hayes Automotive Group,-105.10252993998539,40.154870000000074,Longmont,CO
Starlight Homes,114.18325000000004,22.277510000000063,,
Pareto Law,10.062650000000076,44.26246000000003,Licciana Nardi,
G L E Associates,77.54045000000008,12.99010000000004,Bengaluru,
New York Life,-119.17385002784285,34.229529945468116,Oxnard,CA
Mike Raisor Automotive Group,11.327540030007333,44.51215003664377,Bologna,
Griffis Residential,0.3237300000000687,51.478530000000035,Grays,
Decision Resources Group,73.90553000000006,18.54860000000002,Pune,
QCC,-71.79674999999997,42.315180000000055,Worcester,MA
MaxHome,145.02643998889155,-37.856219919499125,Melbourne,
Tusk Sales Force,-7.6328099999999495,33.59938000000005,Casablanca,
Commercial Insurance Services,35.60873000000004,33.96993000000003,Zouk Mkayel,
Tier 1 Consulting,15.215469956142966,59.27157006939238,Örebro,
Haasz Automall of Dalton,-81.69457007386436,40.79446995946118,Dalton,OH
KNF&T,0.5506900000000314,52.64835000000005,Marham Airfield,
Capital Energy Group,12.558721022859801,56.02051678159582,Helsingør,
"HomeStar Remodeling, LLC",-75.49345999999997,40.59624000000008,Allentown,PA
Zach Hart Agencies,25.91572000000008,-24.627719999999954,South East,
Active Communications,-107.77397007775949,39.52215000000007,Rifle,CO
Fiserv,-96.70221004342343,40.75552992599238,Lincoln,NE
"Imperial Marketing Solutions, LLC",77.60814000000005,12.935680000000048,Bengaluru,
Visual BI Solutions Inc,77.17873000000003,28.644630000000063,New Delhi,
The Compass Business Group,152.9007600000001,-31.434849999999983,Port Macquarie,
Eos Real Estate Management Group,55.77010000000007,24.267190000000028,Al Hili-Ndood Jham,
Lightwell,-78.11050993060765,38.24525999610491,Orange,VA
Opus Business Consulting,-7.393259999999941,33.69333000000006,Mohammedia,
Wellstar Health System,82.21575000000007,16.732520000000022,Tallarevu,
Thomas Scientific,74.74516000000006,34.10970000000003,Ganderbal,
"EtQ, LLC.",35.85203000000007,32.03395000000006,,
Aon,-3.9639099999999416,5.603560000000073,Aon,
Automotive Resources International,73.71818000000007,24.642360000000053,Udaipur,
American Cybersystems,94.10069000000004,27.23234000000008,North Lakhimpur,
American Home Design,-118.25114999999994,34.039460000000076,Los Angeles,CA
Corporate F.A.C.T.S.,-84.44373006217891,39.13970993724418,Cincinnati,OH
Waterstone Mortgage Corporation,-8.43279999999993,54.649080000000026,Donegal,
Page Group,75.93249000000003,17.68372000000005,Solapur,
TriCom Quest,-104.76285999999999,38.83739000000003,Colorado Springs,CO
Russell Speeder's Car Wash,-73.22602007386436,41.17728001500372,Fairfield,CT
Sector 7 Energy,-89.02642999999995,37.77622000000008,Energy,IL
Ramboll Environ,-107.33126999999996,52.231190000000026,Eagle Creek No 376,SK
Encor Solar,11.213460000000055,49.183890000000076,Hilpoltstein,
Merck,-90.61121999999995,35.312310000000025,,AR
Summit Retail Solutions,-111.95104003447933,33.303919974464804,Chandler,AZ
Qualigence Group,75.93249000000003,17.68372000000005,Solapur,
FireEye,-71.32885995614289,42.8952000766057,Derry,NH
"Luthin Associates, Inc.",-0.15876999999994723,50.825690000000066,Hove,
Gensler,-84.15267999999998,9.944120000000055,San Rafael,
Canopy Energy,-97.6979800805008,30.261830043857163,Austin,TX
"MGA Business Consulting, Inc.",-7.393259999999941,33.69333000000006,Mohammedia,
Haasz Automall of Ravenna,-81.21778999999998,41.15686000000005,Ravenna,OH
Lattimore Black Morgan and Cain,-4.899999999999977,43.21667000000008,Caín,
Randstad,-3.1625999961048255,40.62728001832192,Guadalajara,
Yampu Tours,0.6895700000000602,47.388460000000066,Tours,
CH2M HILL,-104.88823994214978,39.60626006939235,Englewood,CO
First Data,-97.46286996047166,27.761240000000043,Corpus Christi,TX
Brown & Brown Insurance LLC.,168.40375917562304,-46.13951993609911,Winton,
Elemental Core Outreach,17.834340000000054,43.04316000000006,Čore,
WOW Payments,-84.14447999999999,46.51883000000004,Sugar Island Twp,MI
The Hartford,-88.21887001947567,41.772899931041394,Aurora,IL
"Levvel, LLC",11.494600026112211,64.01462991949924,Steinkjer,
Brightstar Media Organization,-93.98954999999995,33.11536000000007,Brightstar,AR
Thorogood,77.60838000000007,12.973060000000032,Bengaluru,
Kforce,4.3804199339259515,50.75754004775231,Sint-Genesius-Rode,
Allstate Insurance Company,0.46370000000007394,6.612610000000075,Ho Municipal,
Change Healthcare,101.69705000000005,6.130800000000022,Chanae,
Entrust Energy,-89.02642999999995,37.77622000000008,Energy,IL
White House Marketing,116.11647000000005,5.97634000000005,Kota Kinabalu,
LyondellBasell,-45.39558999999997,-22.93461999999994,Pindamonhangaba,
PBK Architects,-77.0736599738878,38.89479996609764,Arlington,VA
ACRT Inc.,-4.0855699999999615,52.413110000000074,Aberystwyth,
Pappas Partners NY,-73.8617347219878,41.6572552688858,Poughkeepsie,NY
Avanade,-122.34756003332548,47.61184993392594,Seattle,WA
Munchkin,103.840569956143,1.3008300633328387,Singapore,
Automotive Rentals Incorporated,24.98944000000006,60.29500000000007,Vantaa,
MVALOR,121.22862000000009,13.83146000000005,Rosario,
"Presden Consultants, Inc.",35.74094000000008,33.91116000000005,El Mrouj,
Mercer,-80.23994999999996,41.226710000000026,Mercer,PA
Society of Actuaries,-68.47563999999994,-33.08864999999997,San Martín,
Spectrum Communications and Consulting,-119.29589000057689,47.11423994835269,Moses Lake,WA
The Marston Center,-74.91811938886971,39.86748900694563,Marlton,NJ
Vertafore,3.9105800000000386,45.205970000000036,Vorey,
Vectra Networks,26.554620000000057,39.094100000000026,Mytilini,
Progenity,41.80538000000007,55.53712000000007,,
PayPal,-6.398529999999937,53.97694000000007,Dundalk,
HIRECLOUT,0.5746800000000576,44.576910000000055,Saint-Maurice-de-Lestapel,
Allstate,103.89922007660573,1.320439977783029,Singapore,
"SaveSoft, Inc",,,,
Salesforce,-122.39482997662915,37.79442997547536,San Francisco,CA
Beyond Limits,76.27648000000005,9.978530000000035,Ernakulam,
Maxim Integrated,120.9213400000001,14.260080000000073,General Trias,
Intel,-77.03593999999998,-12.073939999999936,Lima,
Dollar Financial Group,77.02907000000005,28.45828000000006,Gurugram,
W2O,,,,
