name,company,company_review,location,description,salary_low,salary_high,state
Entry Level Business Consultant,Reynolds and Reynolds,3.1 ,"– Houston, TX","Are you customer focused, resourceful, and looking to start your career with a leading provider of automotive retailing solutions? Then consider joining our team! Reynolds and Reynolds, one of the top providers of premium integrated computer solutions for automotive dealerships, is seeking Business Consultants to join our growing team of professionals in Houston, TX.
As an Entry Level Business Consultant, you will be responsible for providing high level customer service and software utilization consulting to our dealership customers. Functioning as a consultant, you will be responsible for providing support for our new products, with the ultimate goal of helping our customers realize maximum value from the software tools they have purchased. Most of this consulting will be done over the internet via video-conferencing technology. You will be able to analyze the customer’s software usage and target specific tools and solutions to maximize their operational effectiveness.
You will begin with an intensive five (5) month paid training program located at our office in Houston, TX. Training for this role will consist of combined classroom instruction and online courses. The courses consist of in-depth product training as well as automotive industry knowledge. You will also be partnered with a mentor to train in the field where you can apply your classroom knowledge in a real-world setting. Throughout training you will participate in Role plays, Demos, and Case Studies with plenty of real world examples.
After your training, you will split time between the Houston office and your home office. When working from home, you will perform the video-conference customer meetings and when working from our office, you will work on training and departmental improvement projects.
REQUIREMENTS:
Bachelor’s Degree
Must be a self-starter with good time management skills
Strong written and verbal communication skills
Excellent customer service and organizational skills
Ability to build strong customer relationships
Ability to travel periodically (quarterly) for a week of customer visits
Living in or willing to relocate to Houston, TX area
BENEFITS:
We strive to offer an environment that provides our associates with the right balance between work and family. We offer a comprehensive benefits package including:
Medical, dental, vision, and life insurance
401k with 100% matching up to 6% of compensation
Referral bonuses with the opportunity to earn up to $7,000 per hire
Paid holidays, vacation, and sick days
Professional development and training through ‘Reynolds University’
Discounted membership to local area fitness centers
Company-sponsored events and sports leagues including: company picnic, softball, volleyball, bowling, and more!
Gourmet cafeteria, open for breakfast and lunch, that features a salad bar and a variety of made-to-order cuisine options
Opportunities to participate in charitable endeavors, such as our annual Bike Build for local military families, participation in the Reynolds Associate Foundation, company sponsorship in local charity 5k Run/Walks, and other volunteer opportunities


ABOUT OUR COMPANY:
Established in 1866, Reynolds and Reynolds offers the Retail Management System – a complete suite of products and services for automotive dealerships. Reynolds solutions are built as one, to work as one, for all areas of the dealership. While headquartered in Dayton, Ohio, Reynolds has offices all over the world, employing more than 4,300 associates. We offer a variety of opportunities: Energizing projects, high-powered teaming, constant learning, and professional growth.
Reynolds and Reynolds promotes a healthy lifestyle by providing a non-smoking environment.
Reynolds and Reynolds encourages applicants of all ages and experience to apply, as we do not discriminate on the basis of age.",53000,86000,TX
Entry Level Business Consultant,Reynolds and Reynolds,3.1 ,"– Houston, TX","Are you customer focused, resourceful, and looking to start your career with a leading provider of automotive retailing solutions? Then consider joining our team! Reynolds and Reynolds, one of the top providers of premium integrated computer solutions for automotive dealerships, is seeking Business Consultants to join our growing team of professionals in Houston, TX.
As an Entry Level Business Consultant, you will be responsible for providing high level customer service and software utilization consulting to our dealership customers. Functioning as a consultant, you will be responsible for providing support for our new products, with the ultimate goal of helping our customers realize maximum value from the software tools they have purchased. Most of this consulting will be done over the internet via video-conferencing technology. You will be able to analyze the customer’s software usage and target specific tools and solutions to maximize their operational effectiveness.
You will begin with an intensive five (5) month paid training program located at our office in Houston, TX. Training for this role will consist of combined classroom instruction and online courses. The courses consist of in-depth product training as well as automotive industry knowledge. You will also be partnered with a mentor to train in the field where you can apply your classroom knowledge in a real-world setting. Throughout training you will participate in Role plays, Demos, and Case Studies with plenty of real world examples.
After your training, you will split time between the Houston office and your home office. When working from home, you will perform the video-conference customer meetings and when working from our office, you will work on training and departmental improvement projects.
REQUIREMENTS:
Bachelor’s Degree
Must be a self-starter with good time management skills
Strong written and verbal communication skills
Excellent customer service and organizational skills
Ability to build strong customer relationships
Ability to travel periodically (quarterly) for a week of customer visits
Living in or willing to relocate to Houston, TX area
BENEFITS:
We strive to offer an environment that provides our associates with the right balance between work and family. We offer a comprehensive benefits package including:
Medical, dental, vision, and life insurance
401k with 100% matching up to 6% of compensation
Referral bonuses with the opportunity to earn up to $7,000 per hire
Paid holidays, vacation, and sick days
Professional development and training through ‘Reynolds University’
Discounted membership to local area fitness centers
Company-sponsored events and sports leagues including: company picnic, softball, volleyball, bowling, and more!
Gourmet cafeteria, open for breakfast and lunch, that features a salad bar and a variety of made-to-order cuisine options
Opportunities to participate in charitable endeavors, such as our annual Bike Build for local military families, participation in the Reynolds Associate Foundation, company sponsorship in local charity 5k Run/Walks, and other volunteer opportunities


ABOUT OUR COMPANY:
Established in 1866, Reynolds and Reynolds offers the Retail Management System – a complete suite of products and services for automotive dealerships. Reynolds solutions are built as one, to work as one, for all areas of the dealership. While headquartered in Dayton, Ohio, Reynolds has offices all over the world, employing more than 4,300 associates. We offer a variety of opportunities: Energizing projects, high-powered teaming, constant learning, and professional growth.
Reynolds and Reynolds promotes a healthy lifestyle by providing a non-smoking environment.
Reynolds and Reynolds encourages applicants of all ages and experience to apply, as we do not discriminate on the basis of age.",53000,86000,TX
Entry Level Functional Consultant - Netsuite,Sikich LLP,3.5 ,"– Marlborough, MA, United States","Sikich is seeking an entry-level functional consultant for our Netsuite team. In this role, you will gain experience that will touch on a variety of technology-related tasks, programs, and projects.

Essential Job Duties
Stays current on software application functional capabilities in the industries of Supply Chain, Trade & Logistics, and Warehouse, and others to implement feature functions on client projects.
Works collaboratively with other functional & technical project team members to ensure successful & timely project delivery.
Works directly with clients to implement business processes under their expertise.
Learns & documents new features & business processes to share with Netsuite team & our clients.
After initial training period, travel up to 80% (nationally & internationally) to customer locations for on-site work.
Qualifications
Must be legally authorized to work in the United States without sponsorship now or in the future
Bachelor’s Degree in Accounting, Finance, Business, Information Systems, Supply Chain Management, Operations, or equivalent.
Interest in working in a client facing environment
Excellent verbal and written communication skills
Proficient in Microsoft office applications including Word, Excel, and Outlook
Additional supply chain or manufacturing certification (CSCP, CPIM, etc.) a plus.
About Sikich

Sikich LLP, a top professional services firm, is recognized as one of the fastest growing organizations and best places to work. Consistently ranking as one of the country’s Top 27 CPA firms and among the top 1% of all enterprise resource planning solution partners in the world, the firm offers one-of-a-kind solutions.",69000,107000,MA
Solar Energy Consultant,Alternative Solar,,,"Alternative Solar is excited to add 2-5 new entry-level solar sales consultant positions to our New Braunfels office. Are you enthusiastic about earning an income in solar energy and helping homeowners save money on their bills? Alternative Solar provides a diverse and energetic culture that enjoys celebrating success and are dedicated to creating sales leaders. We are looking to build a relationship with the right people, offering career advancement opportunities, training, accountability to increase success, and a focus on helping you in every way that we can. Training will be determined by your prior experience and knowledge of the industry. We are looking for go-getters who have no fear talking to anyone!

Responsibilities:
Generate leads by prospecting
Fully understand the solar industry - We will train you!
Attend Regular In-Office Sales Meetings
Stay in constant communication with Sales Managers
Requirements:
Strong desire for a long-term successful career within the renewable energy industry
Available to work evenings and weekends
Must attend all training and weekly team meetings
Driven attitude
Personable personality
Must have transportation
Must have smartphone
About Alternative Solar:

Alternative Solar is a veteran owned and operated solar solution company based in San Antonio Texas. Our focus is to provide cost-effective and renewable energy solutions for residential and commercial users, providing the tools and knowledge for long-term fixed energy costs as well as independence from “big” energy corporations. Alternative Solar helps our customers power their future.

Please submit your resume and a brief explanation as to you why you are the perfect fit for this position

Entry level will make a minimum of $150 a week, for the first 6 weeks after training is completed.

No caps on commissions.

Average consultants make about $5000 a month

Superstars make upwards of $20,000 a month

Build a team and make even more money!!!",199680,282880,
Associate Consultant - Finance,Oliver James Associates,4.7 ,– New York,"Job Description

Job Title: Associate Consultant

Market: Finance & Accountancy

Location: 575 5th Ave. 22nd floor, New York 10017

Oliver James Associates:

We are an ambitious, entrepreneurial and privately-owned Recruitment Consultancy with a $135 million turnover operating out of 11 international offices. Established in 2002, we have grown organically and consistently over the past 16 years to become a renowned financial services search & selection organisation, with a current head count of circa 350 employees.

We opened 4 new offices last year and currently have a physical presence in Manchester, London, Dublin, Amsterdam, Brussels, Milan, Frankfurt, Zurich, New York, Hong Kong and Singapore. 2017 was an incredible and record-breaking year for us, with 103 promotions and 118 new hires.

The New York office:

Oliver James Associates have been working the USA market placing senior professionals across our core disciplines for around 4 years setting up physically in October 2015. We place senior professionals on both a contract and permanent basis across IT, Data & Analytics, Change Management, Finance & Accountancy, Actuarial and Underwriting, Claims and Broking into the financial services, consultancy, fintech and technology businesses.

The office is performing extremely well, in the first 18 months in the USA we saw 4 of the team finishing in the top 15 globally and this success has continued with the USA. In 2017, New York produced the top perm biller globally and saw 6 in the top 20 for perm and contract billers across the global business.

This really is an incredible opportunity to join a company with a start-up culture and close-knit team without the usual funding problems of a start-up. You will have full backing from a $135 million company, invested into our systems, offices, networking events, your professional/personal development and entertainment.

It's a relaxed yet high performing working environment and an extremely fun team! Quarterly lunch clubs and incentives. Free drinks on Friday's. Holiday incentives. 1hr 30 minutes for the gym at lunch time.

The Role:

You will be joining an established team of 5 across both contract and permanent Finance and Accountancy markets in New York. This division launched 18 months ago and has quickly developed into a lucrative market, with expected billings from the top biller suppassing $250K in the first 9 months! Average salaries worked are $100K although placements have gone to above $200K annual salaries. The team dynamic is very fun and close knit, boasting a wealth of knowledge within this discipline. We are looking for someone commercially minded and energetic to join as Associate Consultant and support the team of Recruiters with clearly defined targets and career progression path.

Job Description:
Proactively create, maintain, and develop a network of candidates via sales focused telephone activity
Proactively promote Oliver James Associates business and services to all contacts in order to generate new candidate recommendations and referrals
Identify new sales leads and pass to recruiters to follow up with approaches to appropriate target clients
Keep up with current and anticipated demand of candidates with a clearly outlined skillset, maximising efficiency through the effective use of LinkedIn and internal databases
Actively mapping a candidate pool in response to client's hiring requirements
Screen, interview and assess candidates in line with company standards to ensure a thorough understanding of their job and career requirements
What we can offer you;
Global relocation is actively encouraged within Oliver James Associates once proven - either to existing offices or to set up your own.
On top of a competitive basic salary we boast a lucrative commission scheme; it is all transparent and uncapped rather than team based - so you are in control of your own income and know exactly what your take home is.
Culture - Our culture is unique and maintaining this is of the up-most importance to Oliver and James as well as all Global Directors and Senior Stakeholders. Annually we spend $1 million on company entertainment so you can get to know your counterparts around the world. This consists of quarterly lunch clubs, quarterly team events, Spring & Christmas parties and a VIP Summer trip!
Award-winning in-house learning and development team - for every stage of your career (on recruitment and management).
Fast track progression, Oliver James Associates provide you with the right tools to propel your career with case studies of entry level candidates progressing to Director within 3,4,5 years!
https://www.glassdoor.co.uk/Reviews/Oliver-James-Associates-Reviews-E795860.htm- OJ's reviews from past and present employees
https://www.youtube.com/channel/UCVGgRExzuqIMu2F5ESSRAxg- Our YouTube channel so you can check out our company parties, client networking events, new office launches and more!
Please apply for a confidential conversation with our internal recruitment team about the opportunity in more detail.",,,NY
Program Manager,Northland Controls,3.1 ,"– Milpitas, CA","Job Description
Job Title: Program Manager
Reports To: PMO, Project Management Office
Department: Program Management
Location: Milpitas, California
What Northland Does
Northland is a world-class global security integrator with offices in the United States, United Kingdom, Singapore, China and India. We specialize in design, build, integration, and management of high-end Lenel, Software House, S2 global enterprise security systems which include 6 out of 10 of the largest hi-tech companies in Silicon Valley.
We are responsible for single card reader installations in some of the most remote parts of the world, all the way through to the design, deployment and management of large enterprise systems managing up to 300 corporate offices in over 70 countries including datacenters and multi-faceted security operations centers.
With 250 highly trained professionals, all program management, project management, system design, system programming, testing and commissioning is carried out by Northland Controls experts to ensure we deliver the right solution, to the right standard, every time, anywhere in the world. In addition, Northland is supported by a network of over 100 in-country local service partners (LSPs) across the world who partner with Northland to deliver unparalleled world class services to our enterprise customers.
We are trusted to get the job done no matter what. Through word-of-mouth our elite list of customers has rewarded us with phenomenal growth from $1M to $70M in 10 years’. To achieve this, we are always interested in the very best people who share our core values and beliefs, and will “do whatever it takes” to enable our customers to realize their goals. We will take on difficult challenges regardless of where they may lead us, and we will always take the most honorable route to get there.
Our Mission
To be the most trusted and influential leader in the industry. By delivering exceptional services across the world, we are determined to continually surprise our customers, the industry and even ourselves while having fun.
Core Values
Be Honorable
Take on Challenges
Do Whatever it Takes
Our People
Have Fun
Job Mission
The successful applicant manages a project portfolio ranging from $4,000,000 to $15,000,000 in project value. Program managers are responsible for the entire project lifecycle from budgeting through job completion and after care.
Program managers are responsible for the project scope, schedule, and cost. Program managers attend owner, architect and contractor meetings representing the security interests of our clients.
Defining and managing scope requires project planning and recurring reporting. Program managers establish project plans at the project’s outset and report frequently during the project’s course. They publish the scope and ratify it with interested parties. Scoping includes written statements of work, responsibility matrices, device schedules, and project drawings.
Like project scoping, the program manager defines and manages project schedules. Scheduling requires coordination between multiple interested parties, ratifying the schedule, and executing the schedule. Scheduling requires recurring review of baseline and actual schedules; reviewing requires reporting the revisions to baseline schedules. Schedules are defined by several milestones. Within the milestones work is broken down into tasks. Tasks include durations and staffing levels. Scheduling is often done using Gantt charts, but other methods can be used as well
Managing cost requires establishing a project budget and work packages, executing the project in line with the budget, and reporting status. Forecasting future costs and invoicing are also required. Simple reporting includes estimated versus actual costs, a more sophisticated approach is earned value.
Attending owners, architect and contractor meeting is in interactive experience. Project manager’s review published meeting notes and highlight their responsibilities. They execute their assigned duties and they report on their progress. They also take and publish copious notes. During the meeting they answer questions and present their project plans and requirements.
With some portfolios, program managers are assisted by an entry level project manager or project manager. Entry level project managers support the program manager in producing reports and schedules. Program managers mentor entry level project managers.
Project managers working with program managers responsible for individual projects. Like program managers project managers are responsible for the entire project’s lifecycle. They are responsible for fewer projects and less annual revenue
Qualifications
Bachelor of Science degree, preferably in science, technology, engineering, mathematics, or construction management
PMP certification from the Project Management Institute
10 years of project management experience
Duties
Delivers completed projects to our clients
Mentors entry level project managers
Manages project managers
Develops a relationship with the decision makers of customers.
Present a professional image of company when speaking to customers.
Maintains current job plans and specifications.
Manages project designs.
Maintains construction schedule and coordinates scheduling with other trades.
Maintains all records of job status, job changes, material flow and other control records and prepares reports for internal and external use.
Manages job costs
Forecasts future costs
Reports on project costs and invoices",75000,113000,CA
2019 Entry Level Consultant,FTI Consulting,3.5 ,"– United States, United States","POSITION CLASSIFICATION: Exempt

ABOUT THE COMPANY:

FTI Consulting, Inc. is a global business advisory firm dedicated to helping organizations manage change, mitigate risk and resolve disputes: financial, legal, operational, political & regulatory, reputational and transactional. With more than 4,600 employees located in 28 countries, FTI Consulting professionals work closely with clients to anticipate, illuminate and overcome complex business challenges and make the most of opportunities. The Company generated $1.81 billion in revenues during fiscal year 2016.

FTI Consulting continually strives to offer employees and eligible dependents, including domestic partners and eligible domestic partner children, a competitive and comprehensive benefits package. Please click here for more information.

FTI Consulting does not accept unsolicited resumes from external firms or agencies. FTI Consulting will not be responsible for placement fees associated with unsolicited resumes.

FTI Consulting is an equal opportunity employer and does not discriminate on the basis of race, color, national origin, ancestry, citizenship status, protected veteran status, religion, physical or mental disability, marital status, sex, sexual orientation, gender identity or expression, age, or any other basis protected by law, ordinance, or regulation.

PRIMARY DUTIES:
Responsible for day-to-day activities of a project including interaction with other team members, professionals from other firms involved in the engagement and client personnel;
Identify, research, and organize information to assess the appropriateness and sufficiency of available data to facilitate effective data access and analysis;
Apply business, accounting, finance, and analytical skills to various client situations and practice disciplines including, but not limited to, reviewing and analyzing financial statements and projections, assessing business plans, financial modeling, accounting treatment in financial statements to determine appropriateness under generally accepted accounting principles, reviewing and understanding ratio and comparable company analysis, and creating work product that is flexible, understandable, and usable by others;
Analyze and interpret historical financial, operational, and transactional data;
Investigate and critique assertions, analyses, and work product of other experts, consultants and attorneys; Participate in investigations by interviewing subjects, analyzing information and summarizing observations;
Assist with preparation of reports, written analyses, presentations, quantitative exhibits, and other client deliverables regarding project scope and/or results of work performed;
Maintain detailed working paper records reflecting assumptions, methodologies, and information sources employed during the performance of all analytical tasks;
Participate in client meetings to review results of work performed;
Maintain professional image within the company and project the same to those outside of the company.
BASIC QUALIFICATIONS:
Pursuing a Bachelor's Degree in Business related field of study
Permanent US work authorization
PREFERRED SKILLS:
Ability to work both independently and as part of a team in a fast-paced, multi-task environment with a strong attention to detail;
Ability to interface with team members and client personnel in demanding, deadline-driven situations;
Excellent communication (both written and verbal), mathematical, and organizational skills;
Flexibility with respect to assigned tasks and engagements due to challenging deadlines, changing deliverables and evolving task priorities;
General knowledge of corporate finance and accounting principles and terminology;
Familiarity with internet-based financial research resources for corporate information, SEC filings, competitive data and other data sources;
Proficiency with PC environment and related software, including Microsoft Office applications;
Strong work ethic, eagerness to learn, and motivation to succeed.",,,
Assessment Consultant,BTS,4.5 ,"– San Francisco, California, United States","Job Description

**We have two openings and are open to hiring in San Francisco or Chicago. If you are interested in either location, you can indicate that on your application and only need to apply once.

The greatest ideas in the world will die on the vine if not properly implemented. At BTS, we turn our clients’ ideas and strategies into results. We do this by focusing on the people side of strategy, helping the world’s leading companies turn strategy into results. We design fun, powerful experiences that have a profound and lasting impact on people and their careers, inspiring new ways of thinking, building critical capabilities and unleashing business success.

BTS’s state-of-the-art assessments are blending best practices and best technology to determine the right level of resources, knowledge and skills necessary for our clients to achieve their goals. We provide focused and relevant talent selection and development assessments on any level in our clients' organizations, from individual contributors to high potential leaders and executives, to bring the right level of execution capacity to each job, optimizing the use of resources. BTS assessment services provide targeted approaches to precisely identify individual and aggregate talent and capability gaps.

As a consultant in our Assessment Practice, you will play a significant role in the innovation and development of custom solutions across the talent life cycle for BTS clients. You’ll also be responsible for working with BTS account executives, and their clients, as an expert in developing assessment solutions that span all BTS practice areas. We’ll expect you to contribute with sharp analysis and agile thinking to support our innovative new best practices and IP that enable us to go succeed in the market.

We are considering candidates with a variety of experience levels. We want to find great talent, whether that be at the Consultant, Senior Consultant, or Director level. We are also open to this role being based in our San Francisco or Chicago offices.

In this role, your internal and external clients will look to you to display a broad scope of capabilities and in-depth mastery in the assessment center world:
Success Profile/Competency Model Development
Job Analysis
Assessment content design of all types (e.g., exercises, tests, interviews, evaluation forms, feedback reports, etc.)
360 and other survey Development, Administration and Analysis
Situation Judgment Test Development
Research, White Papers and other relevant publications
Statistical Analysis
You won’t fly to the same city every week for three straight months, sitting in a spare cube at the client’s office. You’ll work on multiple projects at one time, across different industries, and with different internal teams. We laugh a lot, and have a lot of fun, in our team-based setting where our entrepreneurial culture of freedom and responsibility empowers you to contribute from your first day. You may travel approximately 25-30% of the time.

Required Skills

What We’re Looking For

We have several openings for this subject matter expert role. The entry level person will have a Master’s in I/O Psychology (or related) with a minimum of three years successfully applying your hard earned credentials in a consulting or corporate environment. Senior level candidates will have significantly more education and/or experience.

It is vital for us to find a person with the desire to drive BTS growth by evangelizing the Assessment Practice’s capabilities. Business acumen, executive presence and strong written and verbal communication skills – in a 1:1 setting, or in front of 200+ business leaders – are extremely important.

Also... Team Work. Curiosity. Creativity. Excellent listening skills. Agility and an ability to balance multiple priorities. These are core attributes of BTS all-stars.

Job Location

San Francisco, California, United States

Position Type

Full-Time/Regular",,,CA
Associate Consultant: Healthcare/Finance (Entry Level),Triage Consulting Group,3.7 ,"– San Francisco, CA","Triage Consulting Group is looking for entry level Associate Consultants to join our San Francisco team. Our firm works with the financial departments of hospitals to identify and recover additional revenue. You'll be joining a team that has been recognized year over year as a Best Place to Work (Glassdoor and Modern Healthcare) and a Top 50 Consulting Firm (Vault).

What you’ll do:
Analyze clients’ managed care contracts and government-based fee schedules to identify underpayments;
Utilize Triage’s proprietary database software to audit insurance reimbursement accuracy;
Contact insurance companies to recover additional payments for our hospital clients;
Interact effectively with clients to perform review, provide recommendations, and communicate project results;
Participate in Triage’s recruiting and training programs;
Assist in the development and expansion of new client services.
Who we’re looking for:
Candidates available to start in Summer 2016;
BS/BA Economics/Human Biology preferred (all Majors are considered);
Minimum GPA of 3.0;
Strong math and analytical skills;
Experience with PCs (knowledge of Excel and Access a plus);
Team-oriented with strong interpersonal and communication skills;
Strong professional and client service skills to enhance perception of Triage;
Ability to interact effectively with and inspire confidence in client;
Ability and willingness to travel;
Candidates will be subject to a background check and employment eligibility verification. Triage acts in accordance with the SF Fair Chance Ordinance.
Application Requirements:
Resume (please include Cumulative GPA and SAT/ACT Scores (Math, Verbal, and Writing))
Cover Letter
Complete Transcripts (Unofficial OK)
Qualified candidates may also apply through the ‘Apply Now’ link on Triage Consulting Group’s website: http://www.triageconsulting.com/apply-now.",46000,80000,CA
Business Performance Analytics Consultant,Travelers Companies,3.9 ,"– Hartford, CT","Company Information
Solid reputation, passionate people and endless opportunities. That's Travelers. Our superior financial strength and consistent record of strong operating returns mean security for our customers - and opportunities for our employees. You will find Travelers to be full of energy and a workplace in which you truly can make a difference.

Job Summary
Positions within this family explore and profile data, draw business inferences, complete analysis and clearly articulate findings for a target audience. This position performs accountabilities under general supervision. Position is an entry level role into the Descriptive Analytics function, in limited Descriptive Analytics experience or business experience in related field. Position accountable for performing less complex core tasks of Descriptive Analytics (the exploration and investigation of past business performance), partnering with team members on more complex tasks. This job does not lead others. Definition of General Supervision: incumbents are told what to do, but not how to do it. Incumbents have some discretion on work accountabilities.

Primary Job Duties & Responsibilities
Applies descriptive analytics to analyze data and validate assumptions. Selects appropriate relevant data and extracts from various internal and external sources. Manipulates raw data sets into information fit for analysis applying needed logic. May require additional information from subject matter expert. Presents analysis and recommendations to team members and manager. Contributes to development of reporting to monitor business critical results. Partners with team members to monitor data to recognize patterns and analyze trends. Provides required analysis, partnering with team members as needed. Applies established best practices to Descriptive Analytics assignments. Participates in the peer review process. Manages assigned less complex projects under general guidance of manager and/or team members.

Minimum Qualifications
Bachelors degree or equivalent education required.

Education, Work Experience & Knowledge
Bachelors degree in STEM (Science, Technology, Engineering, Mathematics) preferred. 2+ years of analytics or related experience preferred. 2+ years working successfully with Microsoft office products or similar products preferred. Working knowledge of analytic concepts. Experience with Descriptive Analytic practices and processes. General business knowledge preferred. Working knowledge of Insurance products/concepts preferred. Experience working on teams. Working knowledge of the main features of the collection of data and the relationship of data elements to each other. Working Knowledge: Understands basic principles and terminology in order to understand and solve simple problems).

Job Specific & Technical Skills & Competencies
Working understanding of the business functions of businesses supported. Demonstrated intermediate analytic and diagnostic skills. Demonstrated intermediate interpersonal skills. Demonstrated intermediate communication skills Ability to work independently and as part of a team. Intermediate project management skills Working understanding of the business functions, processes, and overall business strategies Desire to see tasks to completion. Intermediate Computer Skills in Excel and basic skills in database programming language and/or related applications Intermediate problem solving and decision making skills Definition of Basic skill/competency level: demonstrates basic knowledge and ability; can apply the competency in common/familiar situations that present limited difficulties. Definition of Intermediate skill/competency level: demonstrates solid knowledge and ability; can apply the competency with minimal or no guidance, in the full range of typical situations. Requires guidance handling novel or more complex situations.

Physical Requirements
Requires extended periods of computer use. Requires extended periods of sitting.

Equal Employment Opportunity Statement
Travelers is an equal opportunity employer.",123000,150000,CT
