names,course_id,units,description,learning_outcome
Heinz Journal,90700,6," Students get 6 Pass/Fail credits per term for participating in the journal activities. Students can be involved in editing, radio programs where the students discuss policy issues either among themselves or with a guest speaker, managing the website, promoting the journal activities, or by organizing and moderating Forum. Enrollment is restricted and can be done only by the instructor. Students interested in editing roles need to take a qualifying exam. Recruitment and enrollment takes place at the beginning of the Fall, and Spring semesters.",
Diversity and Inclusion,90701,12," Issue Definition: Recent events have laid bare the degree to which prejudice and discrimination continue to mar American political, social, and economic life. Fortunately, new technology and advances in the social sciences provide today’s leaders with new tools to identify, quantify, and fight discriminatory practices. Drawing upon existing courses, resources, and partnerships within CMU and the broader Pittsburgh community, the Heinz College has an opportunity to be a national leader in the development and application of 21st century tools to combat these longstanding social problems. However, there is not currently an organized framework or structure that brings these resources together into a cohesive and accessible program of coursework, community engagement, and active learning. The members of this project will design such a framework, thereby establishing the Heinz College as a destination of choice for students who want to combine a passion for justice, equity, and inclusion with training in 21st century technology and data analytics. Scope of Work: The student team would engage in four streams of work. The first will be to conduct “focus group” studies with Heinz students, especially members of historically underrepresented minority groups. These conversations will seek to better understand the needs and interests of these groups within our community, and obtain a sense of the kind of comprehensive framework of courses and activities that would appeal to them. The second stream will take an inventory of existing courses available at CMU and the University of Pittsburg that deal with discrimination from historical, cultural, philosophical, economic, and statistical perspectives. Special emphasis will be placed on courses that deal with 21st century issues such as algorithmic bias and the identification of discriminatory practices from economic or commercial data. Where important gaps exist, the student team may propose the creation of one or two courses or minis. The third stream will focus on community engagement in the Pittsburgh region. A number of energetic local nonprofit groups, including the Greater Pittsburgh chapter of the Urban League, Vibrant Pittsburgh, Pittsburgh Community Services, Inc., YWCA Greater Pittsburgh, NAACP and the Pittsburgh African-American Chamber of Commerce have spent years (or even decades) actively engaged in the promotion of a more inclusive and just community. The governments of the city and county also seek to promote a more diverse and inclusive greater Pittsburgh region, as do major employer organizations like the Allegheny Conference. Members of the student team will consider how to engage more actively with these organizations through a regular “diversity and inclusion” speaker series and through a steady stream of substantive summer internships with community organizations and local governments. This work stream will also consider how students interested in fighting discrimination and promoting equity could apply their talents through projects focused on solving real problems in our region and beyond. Examples might include studies of discrimination in police activity, student suspensions, and commercial lending. The final work stream would be to bring all of these pieces together, creating an integrated program of coursework, community engagement, and positive action that enables students passionate about equity and justice to train themselves for a lifetime of leadership in effective social change, using modern tools to fight these longstanding problems. Available Data: Each mode of analysis profiled above would rely on an associated data stream. Focus groups would draw upon the insights of existing Heinz College students and recent graduates, with an emphasis on the views and opinions of members of underrepresented minority groups. The course inventory and development stream would draw upon not only the existing course catalog of Carnegie Mellon University and the University of Pittsburgh, but also on the insights of leading scholars at these universities whose teaching and research mission connects to the domains of equity and inclusion. The community engagement section would leverage the connections that have been created in the past semester by a related systems synthesis project focused on recruitment and retention of African-American executives in the Pittsburgh region as well as the personal network of the faculty adviser. Expected Deliverable: The student team will create an integrated curricular plan for Dean Ramayya Krishnan and his leadership team. This plan will identify existing courses (and, where critical gaps exist, propose new courses or minis) that could enable Heinz students to understand the causes and consequences of discriminatory practices from multiple perspectives. It will show how students interested in this domain could educate themselves through a pathway of coursework, engage with the local community in ways that reinforce and deepen the lessons learned in the classroom, and harness the Heinz College’s strengths in analytics and technology to find new solutions to longstanding problems. Skills Required: This project offers a rare opportunity for Heinz students to work together on a project that could strengthen the ability of the Heinz College and its curriculum to contend with modern issues of equity and inclusion. It would draw upon nearly the full set of skills developed in the core curriculum, including (but not limited to) statistics, econometrics, applied economic analysis, analytical techniques from management science, cost-benefit analysis, and high-level professional communications skills.",
Women and Public Policy,90703,6," This course will examine some of the cutting edge social and professional issues surrounding women today. Its purpose is to analyze and discuss the nature of women’s participation in a number of economic and political activities, as well as the impact that specific policies have on women. Students will have the opportunity to explore some of these critical issues through the readings, presentations and class discussions. Since this is a mini course we will not be able to cover the entire range of issues affecting women. Instead, we will try to cover a few specific areas focusing on some of the psychological, legal and political issues that impede the advancement of women. We will also try to assess the progress made by women in the last decade.","Learning Outcomes: Students will develop these analytical skills in different forms: a) Class discussions which will allow the students to develop the ability to analyze, discuss, and defend different policy positions in an academic environment b) Writing a policy memo: It is critical for all of us to be able to summarize a problem, present possible solutions, and recommend policies/solutions to others. The policy memos allow the students to develop these very important skills. Typically, students are expected to assume the role of a policy maker and provide specific policies to the President or another important policy maker. The policy memos emphasize the use of relevant data, the analysis of the problem, and the policy design. c) Group presentation and paper: Group presentations are geared to allow the student to develop the ability to work in a project with other students, learn about a specific topic in depth, and prepare a class presentation either using power point or class handouts. In order to ensure the effectiveness of the presentation the instructor meets with the student about a week before the presentation to set the specific topics and parameters of the presentation. The handout or slides need to be submitted to the instructor at least 24hours before the presentation. The slides or handouts will be reviewed by the instructor in order to verify the effectiveness of the presentation. d) Analytical essays: The final exam consists of two analytical essays and/ or policy memos."
"Poverty, Inequality and Social Policies",90704,12," In her book Social Forces and States Judith Teichman argues that “significant and long term improvement in distributional outcomes is a daunting political task [that requires] a strong societal consensus on the importance of the reduction in inequality, one that compels political leaders to make difficult policy changes.” Teichman’s words indicate that poverty and inequality are not just socioeconomic problems, but critical political and policy problems both in the U.S. and in the rest of the world and this class attempts to tackle some of those complex problems. This course is divided in four sections: a) The first one discusses the global nature of inequality and what can be done to reduce its impact. b) The second section will focus on poverty and anti-poverty policies pursued in the U.S. c) The third section focuses on three middle income countries: Chile, Mexico and South Korea. In this section the focus is on the role that social forces and the state play in the generation of socioeconomic responses to poverty and inequality as well as the impact of Conditional Cash Transfers d) The fourth section analyses poverty, the behavior of the poor and antipoverty policies in very poor countries or regions of the world. It also discusses micro-financing and Unconditional Transfers",
Public Policy Analysis,90705,12," This course provides students with a foundational understanding of public policy as an academic discipline and as a professional practice in both advanced and less advanced political economies. The course introduces the theoretical roots of the discipline and the analytical approaches that define and drive it. The students will be exposed to the complex actors and institutions involved in the shaping and implementation of public policy, and the various types of approaches, methods, and tools used in different policy arenas. Students will explore in depth the complexities of the various phases of the policy process: agenda-setting, policy formulation, decision-making, implementation, and evaluation. The exploration of these various phases will be through discussions of cases of public policy problems in various countries with different governance environments.","Learning Outcomes: At the end of this class, the students are expected to demonstrate the following: • knowledge of key concepts in public policy and public management; • ability to analyse and define problems and to set policy agendas accordingly; • capacity to apply various approaches in developing policy options, devising implementation strategies and conducting evaluation of policies; • competency in communicating analysis and findings clearly in their written work and in verbal presentations."
Public Finance: Theories and Cases,90706,12," This course builds on the methods and techniques covered in Policy Analysis I. The first half concentrates on elaboration of a theoretical framework for policy analysis. This requires a considerable reading load consisting of both theory and cases for analysis. The second half of the subject is devoted to some specific aspects of the policy analysis process. This allows us to apply theories to issues such as causation in behavioural theory; the special challenges presented by environmental and infrastructure issues; policy and regulatory practice, including agency capture; and public private partnerships. The final two classes deal with two big issues: Acemoglu’s theory on why nations fail; and the debate on inequality. At the end of this class, the students should be able to accomplish the following: • Critically evaluate policy recommendations using standard tools of policy analysis; • Prepare a sound, evidence-based policy advice and understand the limitations of the use of evidence in policy-making • Apply normative and political theory to policy-making • Research policy using a wide range of sources • Apply policy analytic techniques to complex issues such as environmental policy; public private partnerships; health policy interventions; and policy for addressing inequality",
Statistical Reasoning,90707,12," This course will provide an introduction to the principles of data collection, description and analysis. You will learn the basic tools of statistical inference and modeling, as well as how to interpret results, measure the uncertainty in result, and understand the limitations of results. You will also learn how to interpret statistical output, and how not to be fooled by statistical studies.","Learning Outcomes: At the end of this course, you should be able to - Present data visually in tabular and graphic form - Summarize a set of observations by reporting a measure of center and dispersion - Explain how and why sample data can be used to estimate descriptive measures of populations when census data is unavailable, and how we measure the accuracy and precision of the estimate - Apply the basic rules of probability - Find and interpret the probability for a random variable which has a normal distribution - Explain how to take a proper scientific sample that can be used to make inferences about the larger population - Explain what sampling error is and why it exists - Classify data by type and use the proper summary statistics and tests for the data type - Interpret the p-value, test statistic and other Minitab output from a test of hypotheses, confidence interval, and linear regression"
Intermediate Economic Analysis,90709,12," This is a course in economics relevant to public policy and management for those who already have some familiarity and facility with basic economics. In this course we will focus on microeconomics, which is the study of individuals, firms, and markets.","Learning Outcomes: • Be familiar with microeconomic concepts and analysis that are essential to good managerial and policy decisions. • Be able to use economic analysis in evaluating public policy issues. • Be able to apply these concepts and analysis in other courses taken at Heinz, e.g., Management Science, Financial Analysis, Budgeting and Management Control Systems, Negotiation, Public Policy and the Internet, Systems Synthesis, etc. • Be able to critically evaluate economic arguments in public policy debates. You should be able to understand and critically evaluate articles and op-eds about economics in the New York Times, Wall Street Journal, etc. You will be able to impress and amaze friends and family with your deep insights and critical understanding of current economic events when such discussions arise over the cheese dip or arguing with your Uncle Edgar."
Applied Economic Analysis,90710,12," Microeconomics is the study of how individuals and firms make choices, and how these choices interact in society. Economics shares with other behavioral sciences the general goal of explaining and predicting human behavior. The distinguishing feature of the economic approach is the emphasis on rational decision making under conditions of scarcity. Because of the central role of markets and the price system in describing the outcome of individual and firm decision-making, microeconomics is sometimes called “price theory.” This course is an introduction to the basic concepts and tools of microeconomics. We study how markets work, with an emphasis on analysis of the effects of public policy on the welfare of society. The course also provides a brief introduction to macroeconomics.","Learning Outcomes: By the end of this term you should: Develop a deep understanding of a small number of core concepts of microeconomics that are essential to good managerial decision making and informed analysis of any economic issue. Develop an ability to use key economic ideas in evaluating public policies. You should leave this course with a basic understanding of what types of government intervention benefit society. You also will be informed about a number of current issues confronting policy makers. Be acquainted with a few important ideas in macroeconomics, such as the determinants of economic growth, the causes and consequences of inflation and unemployment, and the role of monetary and fiscal policy. Develop an ability to critically analyze economic arguments put forth in public policy debates. For instance, you should be able to read and evaluate general economics-related material in the New York Times, Wall Street Journal, or Economist."
Statistical Reasoning with R,90711,12," Statistical reasoning is essential to learning from data and understanding the strengths and limitations of data analyses. This course is grounded in questions of importance in public policy and focuses on how data and statistical reasoning can inform those questions. We will use a hands-on approach to develop skills and critical thinking in the fundamentals of causal inference, univariate and bivariate descriptive statistics, prediction, linear regression, uncertainty, and statistical inference. The hands-on approach involves learning the basics of how to use the R statistical language and weekly labs in which students will use R to carry out and interpret data analysis on real-world policy issues in a supervised setting. While useful, no R or computer programming experience is required for the course, and this course does not replace the stand-alone R course.",Learning Outcomes: The objectives of the course are to provide students with the ability to: 1 Use statistics to summarize patterns in raw data; 2 Use data to infer cause and effect relationships; 3 Use probability to characterize uncertainty; 4 Calculate and interpret confidence intervals and perform and interpret hypothesis tests; 5 Perform and interpret regression analyses; 6 Use the statistical software package Minitab; 7 Prepare you for more advanced statistical courses.
