name,company,company_review,location,description,salary_low,salary_high,state
Data Scientist,W2O,3.7 ,"– Austin, TX","W2O Group is a healthcare communications & PR firm with over 700 people worldwide. Ranked #1 to work for among large agencies by The Holmes Report, W2O Group is on the forefront of applying digital analytics to communications. With a demonstrated 132% revenue growth in five years, W2O Group is on fire with new business and clients. Working with us is a great opportunity to make an impact in an entrepreneurial culture, working directly with clients and all levels of staff.


Position Summary

We're looking for entry level and senior level data scientists to join our Data Science team. Applicants should be smart, curious, and interested in finding data-driven, evidence-based answers to hard problems. You will work side-by-side with our team of data scientists, account staff, and analysts to find creative solutions to the hardest business problems from some of the biggest brands in the world like Intel, Red Bull, and Takeda Pharmaceutical Company.

Our data sciences team splits its time between creating the best products in the marketplace; building and maintaining our data and tools platforms; and working directly with analysts to make sure every project is putting the best data, the smartest algorithms, and the most efficient processes to work for our clients. The data sciences team members collaborate on a variety of projects and have a diversity of technical talent including statistics, machine learning, information systems, and engineering. We work on a wide range of infrastructure, ranging from python notebooks to cloud computing. Priority will be given for staffing positions in Austin, Texas; Philadelphia, PA; and New Hope, PA.

Responsibilities
Partner with analytics team to deliver data-driven answers to clients' complex business questions
Collaborate and communicate effectively with stakeholders from teams in data sciences, analytics, account managers, and creative
Compose the right research plan for the project
Assist in executing the plan by pulling data, applying algorithms, etc.
Craft the narrative to explain the results to internal and client stakeholders
Develop new models, algorithms, and data sets to answer clients' business questions better
Discover new patterns in available data
Develop prototypes of new products and solutions
Assemble new data sets
Support the software team in growing and maintaining data and tools platform
Mentor analysts and other staff to use platform most effectively
Drive integration of new data, algorithms, and prototypes into the tools
Requirements, Skills & Experience
A Bachelors, Masters or Doctoral degree in Computer Science, Computational Linguistics, Engineering, Statistics, Machine Learning, or Natural Sciences
A naturally curious disposition
A knack for explaining complex concepts in simple terms
A proven ability to design research methodologies to answer questions with data
Experience using Python, R, Java, or ""big data"" tools (like Hive, Pig, Spark, etc.) to perform research methodologies on data
Experience interpreting structured and unstructured experimental results data
Project experience in machine learning, computational linguistics, data modeling, data collection, or knowledge engineering
Nice to have
Experience building statistical or machine learning models a plus
Experience with data engineering, data architecture, or data transformation pipelines a plus
Experience using cloud infrastructure especially AWS to perform analysis a plus
Experience using cloud infrastructure especially AWS to deliver software to users a plus
Exposure to software development practices especially Agile a plus
Exposure to devops practices especially CI/CD a plus
Bonus for any experience in marketing, comms, or healthcare
Bonus for any interdisciplinary experience in studies, projects, or research
W2O Group offers a comprehensive benefit program and perks, including unlimited and flexible PTO, expanded paid leave for new parents and a 4th Trimester program that helps new parents transition back to work, and a five-week sabbatical program. Other perks include Income Protection, Retirement plans/401(k) match, and cell phone savings plans. Learn more about our great benefits and perks at: http://www.w2ogroup.com/

W2O Group is an Equal Opportunity Employer. We foster an environment that embraces diversity. We are stronger with a wider range of opinions, strengths, and backgrounds to achieve our goals.",91000,138000,TX
Data Scientist,W2O,3.7 ,"– Austin, TX","W2O Group is a healthcare communications & PR firm with over 700 people worldwide. Ranked #1 to work for among large agencies by The Holmes Report, W2O Group is on the forefront of applying digital analytics to communications. With a demonstrated 132% revenue growth in five years, W2O Group is on fire with new business and clients. Working with us is a great opportunity to make an impact in an entrepreneurial culture, working directly with clients and all levels of staff.


Position Summary

We're looking for entry level and senior level data scientists to join our Data Science team. Applicants should be smart, curious, and interested in finding data-driven, evidence-based answers to hard problems. You will work side-by-side with our team of data scientists, account staff, and analysts to find creative solutions to the hardest business problems from some of the biggest brands in the world like Intel, Red Bull, and Takeda Pharmaceutical Company.

Our data sciences team splits its time between creating the best products in the marketplace; building and maintaining our data and tools platforms; and working directly with analysts to make sure every project is putting the best data, the smartest algorithms, and the most efficient processes to work for our clients. The data sciences team members collaborate on a variety of projects and have a diversity of technical talent including statistics, machine learning, information systems, and engineering. We work on a wide range of infrastructure, ranging from python notebooks to cloud computing. Priority will be given for staffing positions in Austin, Texas; Philadelphia, PA; and New Hope, PA.

Responsibilities
Partner with analytics team to deliver data-driven answers to clients' complex business questions
Collaborate and communicate effectively with stakeholders from teams in data sciences, analytics, account managers, and creative
Compose the right research plan for the project
Assist in executing the plan by pulling data, applying algorithms, etc.
Craft the narrative to explain the results to internal and client stakeholders
Develop new models, algorithms, and data sets to answer clients' business questions better
Discover new patterns in available data
Develop prototypes of new products and solutions
Assemble new data sets
Support the software team in growing and maintaining data and tools platform
Mentor analysts and other staff to use platform most effectively
Drive integration of new data, algorithms, and prototypes into the tools
Requirements, Skills & Experience
A Bachelors, Masters or Doctoral degree in Computer Science, Computational Linguistics, Engineering, Statistics, Machine Learning, or Natural Sciences
A naturally curious disposition
A knack for explaining complex concepts in simple terms
A proven ability to design research methodologies to answer questions with data
Experience using Python, R, Java, or ""big data"" tools (like Hive, Pig, Spark, etc.) to perform research methodologies on data
Experience interpreting structured and unstructured experimental results data
Project experience in machine learning, computational linguistics, data modeling, data collection, or knowledge engineering
Nice to have
Experience building statistical or machine learning models a plus
Experience with data engineering, data architecture, or data transformation pipelines a plus
Experience using cloud infrastructure especially AWS to perform analysis a plus
Experience using cloud infrastructure especially AWS to deliver software to users a plus
Exposure to software development practices especially Agile a plus
Exposure to devops practices especially CI/CD a plus
Bonus for any experience in marketing, comms, or healthcare
Bonus for any interdisciplinary experience in studies, projects, or research
W2O Group offers a comprehensive benefit program and perks, including unlimited and flexible PTO, expanded paid leave for new parents and a 4th Trimester program that helps new parents transition back to work, and a five-week sabbatical program. Other perks include Income Protection, Retirement plans/401(k) match, and cell phone savings plans. Learn more about our great benefits and perks at: http://www.w2ogroup.com/

W2O Group is an Equal Opportunity Employer. We foster an environment that embraces diversity. We are stronger with a wider range of opinions, strengths, and backgrounds to achieve our goals.",91000,138000,TX
Data Analyst (Entry Level),Vertafore,3.1 ,"– Greenwich, CT, US","• Work with internal client facing teams on broker/carrier analytics and reporting
Perform data analysis by means of data interpretation, and execution of advanced database queries using Tableau, MySQL, Amazon Redshift, Excel, R, Python and other database technologies or programming languages as appropriate. Identify, analyze, and interpret trends, patterns or insights in result sets
Work independently, or in teams on complex level data gathering, checking, manipulation, analysis, reporting and data quality assurance tasks with minimal supervision
Develop analytical model for reporting and mining insights for business development activities using conventional or visualization tools
Define and develop platform data quality checks or assessment for purposes of enhancing the RiskMatch service in support new prospects or existing clients.
Develop and document rules, integrity and consistency checks
Troubleshoot and recommend solution to technical problems
Perform other duties as the company evolves

• Professional/Hands-on experience with SQL, EXCEL, and interactive data visualization tool like Tableau. If you have not written and executed complex SQL queries, please do not apply
Deep understanding and working knowledge of relational structures, and reporting techniques and practices
Strong communication and problem solving skills, a positive attitude and the ability to work with external clients as required
Nice to have: knowledge of statistical concepts and, ideally, supervised learning machine-learning algorithms
Nice to have: Property & Casualty Insurance experience",59000,77000,CT
Scientist 1,Progenity,3.6 ,"– Ann Arbor, MI","JOB DESCRIPTION
Responsible for conducting experiments aimed at developing human genomics-based products for the NIPT, carrier screening, women’s health, and human disease molecular diagnostics industries. Activities include developing and carrying out well planned and controlled experiments. Data analysis activities are also practiced according to approved organizational standards followed by determination of future experimental and assay development activities resulting from such analyses. Experimentation will be aimed at implementation and optimization of technologies and completing the development and verification/validation of new Laboratory Developed Tests (LDTs).

RESPONSIBILITIES
Responsible for creation of experimental designs, protocols, engineering designs, plans, and procedures with minimal supervisory input. Independently executes defined protocols, procedures, and data analysis plans.
Conducts experiments that are comprehensive in nature with results that can have a large departmental impact on one or more projects.
Industry knowledge or demonstrated technical capability applicable to unit of work. Extensive product knowledge or technical expertise in focus area. An advanced degree with demonstrated active learning skills may replace extensive product knowledge.
Train/mentor new/entry level associates in the unit of work or technical subjects.
Developing as a subject matter expert in a defined discipline. Able to summarize, analyze, and convey complex information clearly and adjust communication to the audience.
Regular use of outside sources of ideas and information (scientific literature, patents, regulatory body websites, industry best practice) to keep current in area of expertise.
Responsible for, with increasing accountability for, creation and review of experimental designs, protocols, engineering designs, plans, procedures, product/process documents, and reports to achieve business objectives.
May be accountable for lab work or unit of work carried out by other Associates. Leads by example in following all policies, procedures as required and proactively identifies and remedies problems.
Leads/facilitates technical discussions and decision making within discipline/department as well as cross functionally.
Authors and drives requirements definition for assigned unit of work.
Has in-depth understanding of risk management concepts and is capable of assessing product, process, project, and schedule risks across unit of work. Able to remove simple or moderately complex road blocks within unit of work.
Drives process improvement ideation, implementation, and sustainment within department. May also be involved in driving broader scale improvement initiatives.
Has awareness of industry standards and regulations and how they relate to internal policies and procedures. Influences interpretation of internal policies and procedures to ensure quality and compliance.
Accountable for decisions within unit of work. Uses sound judgment and thinks through impacts of situations and options.
Identifies, assesses risk, and proposes correction/corrective action to resolve issues. Diagnosing symptoms and getting to root cause within unit of work. Establishes troubleshooting standards within unit of work.
Authors and drives implementation and execution of work instructions/standard work.
Identifies opportunities, offers solutions, and participates in execution for product and process improvements within the function and department. Looks beyond the obvious symptoms to uncover root cause issues and prioritizes problems for solutions based on highest impact.
Communicates effectively across functions and external partners. Works collaboratively across the business. Motivates and engages team mates by asking for input and listening to other ideas.
Has ability to influence tactical decisions within their department and across functions within product line.
Technical lead within unit of work. May be a primary or extended Core team member.
REQUIREMENTS

Education/Certifications
BS, MS or Ph.D. degree in life science field with a molecular biology/genomics focus. Ph.D. preferred and other exceptional candidates will be considered.
Work Experience
Extensive Laboratory-based experimentation
Previous industrial experience preferred.
Required Skills, Knowledge, and Abilities
Extensive experience in one or more of our technology platforms (molecular biology, genomics, next-generation sequencing, protein chemistry, bioinformatics, etc.) required.
Clear written and oral communication skills.
Ability to multi-task and prioritize effectively.",58000,84000,MI
Data Scientist (Entry Level),Vectra Networks,4.3 ,"– San Jose, CA","Vectra Networks delivers a new class of real-time threat detection and advanced analysis of active network intrusions. Vectra Networks picks up where perimeter security leaves off using AI to provide deep, continuous analysis of both internal and Internet-facing network traffic for all phases of the attack progression as attackers attempt to breach, spy, spread, and steal within networks.

Vectra directly analyzes network traffic in real time using combination of patent-pending data science, machine learning, and behavioral analysis to detect attacker behaviors and user anomalies in the network. All detections are algorithmically correlated and prioritized to show an attack in context, and Vectra Networks' machine learning adapts as attacks evolve.

Position Overview:

Apply cutting edge machine learning, artificial intelligence, and modeling techniques to identify hackers as they attack networks. Support research into new approaches in applying AI to network traffic. As part of the data science team you will impact the product by helping to develop the core algorithms that detect malicious and anomalous behaviors on the network.

Requirements:
BS/BA in Computer Science, Engineering, or similar computational discipline, e.g. physics, mathematics, or statistics
Strong mathematics, computation, and/or statistics foundation.
Basic experience with applying machine learning and/or statistical modeling to real world problems
Python programming experience
Object oriented programming: C++, Java, or equivalent
Desired Experience:
Computational programming experience: R, Python/Pandas, Matlab/Octave
Spark or Map Reduce
SQL and noSQL database experience
Linux
Source control experience, preferably GIT",118000,167000,CA
Data Scientist,PPL,3.1 ,– PA-Allentown,"Title
Data Scientist

25-Oct-2018

25-Oct-2019

Primary Responsibilities

Business Alignment and Thought Leadership:

• Work with the business stakeholders to identify data requirements

• Model and frame business scenarios that are both meaningful and impact critical business processes and/or decisions

• Effectively communicate complex technical data results to target audience

Data Collection and Integration:

• Parse and manipulate raw, complex data streams to prepare for loading into an analytical tool

• Perform end-to-end data set identification, development, and implementation

• Work with Data Analysts / Technologists to support data collection, integration and retention requirements based on the input collected with the business

• Gather and process data from the Transmission, Distribution, Customer Service, and EU Service functions, and transform them into data products

• Design and implement statistical data quality procedures around new data sources

• Develop and implement data set processes and layouts

Discovery and Statistical Analysis:

• Implement data formulation process, including identification of attributes, exploratory data analysis, data transformation, and temporal data structures

• Perform statistical analyses with both new and existing data sets in statistical packages

• Understand the use and ability to employ the appropriate algorithms to discover patterns

• Apply best available practices for artificial intelligence and machine learning

Reporting:

• Implement ongoing improvements to methods and algorithms that lead to findings, including new information

• Guide /collaborate with Data Visualization Technologists to visualize and report data findings creatively in a variety of visual formats that appropriately provide insights to the business

Data Governance:

• Ensure that the information used follows the compliance, access management and control policies of the organization

Physical presence in the office/on-site to engage in face-to-face interaction and coordination of work among direct reports and co-workers.

May be assigned an Electric Utilities emergency and storm role. This is a special assignment that comes into play during storms and other emergencies when the company needs to restore power or respond to other issues affecting customer service. This role may necessitate the need to work after-hours, outside of your normal schedule.

Requisition ID
4812BR

Position Summary

We've got an electric future. The energy industry is an exciting place, full of developing technology and new customer service possibilities. PPL Electric Utilities is looking for Data Scientists who can help us provide strong, reliable, affordable electric service to more than a million customers in Pennsylvania, while adapting to new opportunities that are changing our industry. People depend on us and we deliver. We'd love to have you on board as we tackle that challenge, in new ways, everyday.

The Data Scientist designs and implements processes and layouts for complex, large-scale data sets used for predictive modeling, data mining, and research purposes. They work with the business stakeholders to identify data requirements, and both model and frame business scenarios that are meaningful and impact critical business decisions.

Candidate Qualifications

Candidates must meet the basic qualifications and pass all required tests or assessments to receive consideration.

In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility form upon hire.

Experience Level
Entry Level

Recruiting Location
PA-Allentown

Basic Qualifications
Bachelor’s degree in data science, data analytics, computer science or mathematics and two (2) years of experience with data mining and statistical analysis. In lieu of experience, applicants with a Master's degree in data science, data analytics, computer science or mathematics will be considered.
Able to understand various data structures and common methods in data transformation
Excellent pattern recognition and predictive modeling skills
Experience with object-oriented programming languages such as Python
Knowledge of industry leading data quality and data protection management practices
Proven ability to prioritize and execute tasks
Highly self-motivated and directed with attention to detail
Easily adapts to changing circumstances
Able to understand business goals and strategic priorities
Equal Employment Opportunity

Our company is an equal opportunity, affirmative action employer dedicated to diversity and the strength it brings to the workplace. All qualified applicants will receive consideration for employment without regard to race, color, age, religion, sex, national origin, protected veteran status, sexual orientation, gender identify, genetic information, disability status, or any other protected characteristic.

Regular or Temporary
Regular

Preferred Qualifications
Master’s degree
Five (5) years experience with SAS, ETL, data processing, database programming and data analytics
Experience building and running machine learning algorithms
Experience supporting fast-changing business organizations
Full-time or Part-time
Full-Time

Corporate Summary
As one of the largest investor-owned companies in the U.S. utility sector, PPL Corporation delivers on its promises to customers, investors, employees and the communities we serve. Our utilities – Western Power Distribution, Louisville Gas and Electric and Kentucky Utilities, and PPL Electric Utilities – provide an outstanding service experience for our customers, consistently ranking among the best in the United States and the United Kingdom. PPL has grown from a company with customers and facilities in one region of Pennsylvania to a diverse energy company with more than 10 million customers in the U.S. and the U.K. PPL provides energy for millions of customers while providing challenging and rewarding careers for thousands of employees around the U.S. and abroad. Follow PPL Corporation on social mediaTwitter: @PPL_Corporation (https://twitter.com/PPL_Corporation)LinkedIn (https://www.linkedin.com/company/ppl-corporation)Follow PPL Electric Utilities on social mediaTwitter: @PPLElectric (https://twitter.com/PPLElectric)Facebook (www.facebook.com/PPLElectric)",66000,105000,PA
Data Scientist I,Caterpillar Ltd,3.6 ,"– Virginia Beach, Virginia","Data Scientist I
United States-Virginia-Virginia Beach
Caterpillar Asset Intelligence uses quantitative methods such as data
mining, algorithm development, and advanced statistical techniques to
solve problems for internal and external customers. The Data Scientist
I is an entry-level, degreed position that leveraging his or her
quantitative analysis, data management, and/or data visualization
skills as an individual contributor to project teams tasked with
solving business problems. Responds to ad-hoc data requests as needed.
Caterpillar Asset Intelligence uses quantitative techniques to solve
problems. Typical problems include maximizing OPACC through
improvements in reliability engineering models; development of
empirical (data-based) models; development of algorithms that result
in actionable data and/or cost savings for the customer; development
of automated analysis of internal data and processes; development of
algorithms that recommend optimal operation configuration; maintenance
and development of business intelligence reports that provide value to
the customer.
The principal responsibility of this entry level Data Scientist
position is to learn and assist: to gain an understanding of
Caterpillar Asset Intelligence s business, products, systems and
procedures; to learn and develop skills which result from the
practical application of basic analytical knowledge; and to provide
assistance to a project team or others in the work group. Projects
will usually be of short duration and work results will affect those
working on the same project or assignment. Typically, decisions will
impact routine, low risk issues that may affect the project team,
dealers or internal customers.
Key areas of responsibility encountered in this role may include any
or all of the following: locating and obtaining data from various
internal and external sources; collecting and understanding Critical
Customer Requirements; applying associated digital technologies;
communicating with internal customers, team members, and stake
holders; answering routine requests for information; and providing
support to the teams on which he or she serves.
Work is closely directed by a project team leader and supervisor, with
regular reviews and updates.
The Data Scientist I demonstrates knowledge and ability to handle
basic issues independently. He or she demonstrates very good
communication skills and initiative, and an emerging knowledge of
Caterpillar Inc., its products and services, and its customers.
Basic Qualifications
4-year degree, preferably in statistics, economics, mathematics,
or a similar field with quantitative coursework or related
experience.
Must be comfortable working in MS Office, and industry standard
statistics and data visualization packages.
Must demonstrate strong initiative and the ability to communicate
effectively.
Top Candidates Will Also Have
Excellent communication and presentation skills
Good analytical thinker, experience in data analysis and project
management.
Ability to work well in team settings and attention to detail.
Caterpillar is not currently hiring individuals for this position who
now or in the future require sponsorship for employment visa status;
however, as a global company, Caterpillar offers many job
opportunities outside of the U.S. which can be found through our
employment website at *************************** (************************************
Information Analytics",81000,116000,VA
"Data Analyst, Entry Level (Graduate Degree)",PayPal,3.7 ,– San Jose,"Job Description Summary:

At PayPal, we’re literally reinventing how the world pays and gets paid. We understand that it’s about our customers. We connect individuals to let them shop, get paid, donate and send money using today’s technology with the confidence that comes from the security and control PayPal enables. Are you ready to help us change the world?

The world’s leading payments company, PayPal brings together a family of brands that are revolutionizing the way people move money. At PayPal you will be immersed in an amazing community with a vibrant culture that thrives on innovation, collaboration, inclusion and wellness.

Job Description:

The position will part of a global analytics organization with many options for future career growth at PayPal. We're looking for analysts that go above and beyond simply providing reports and analyses to consulting on product design and customer experience. This person will generate insights by conducting extensive analyses of PayPal’s rich data. In the process, this person will develop a deep understanding of the payments businesses, our site functionality, further strengthen their analytic, leadership, and presentation skills, and gain exposure to a wide variety of functional teams within PayPal.

Qualified candidates will graduate with their Master's degree between December 2017 and August 2018.

Basic Requirements:
Master's degree in Computer Science, Math, Statistics, or related field from an accredited college or university
4+ years Java experience
Expertise required in object-oriented design methodology and application development in Java.
Excellent understanding of computer science fundamentals, data structures, and algorithms.
Excellent problem solving skills.
Solid data mining and machine learning expertise required, DB/data warehouse expertise desired.
Familiarity with search/recommendation/classification applications and domains preferred.
Information Retrieval (search/recommendation/classification) experience or Human Judgment/User Interface experience.
Position Location: Varies

Subsidiary:

Travel Percent:

0

Primary Location:

San Jose

Additional Locations:

Austin, Boston, New York, Scottsdale, Timonium",72000,97000,
Data Scientist (Entry Level),HIRECLOUT,5.0 ,"– Los Angeles, CA","Data Scientist (Entry Level)

Want to work on a profitable, data-focused product with a small friendly, tight-knit team? Want to put your studies in Machine Learning and Data Science into practice for real business problems.

Our client is seeking an Entry Level Data Scientist to participate in activities across the data science lifecycle: business case definition, data collection, cleaning, integration, analysis, visualization, feature engineering, modeling with machine learning algorithms, interpreting the models/results, and reporting.

This role will provide exposure and mentorship in the areas of Data Science and Machine Learning.

Qualifications:
Master’s Degree in Computer Science, Engineering, Statistics or other quantitative fields
Theoretical knowledge of Machine Learning, Algorithms, Statistics, etc.
Basic coding ability in Python or R
Programming skills with Java or Scala is a plus
Full cycle machine learning engine implementation via internship or school project

#LI-JL1",,,CA
Entry Level Data Scientist,"SaveSoft, Inc",4.2 ,"– Des Moines, IA","Entry Level Data Scientist!

Job Description:

Data Science team is looking for an entry/mid level Data Scientists who has a passion to build data products and data systems.

Key Responsibilities / Requirements:
Understand existing business flow and website features, dive into the underlying data, apply relevant Data Mining techniques and/or Machine Learning algorithms and propose data analytic product to improve the website intelligence
Participate in predictive modeling and data mining
Participate in trend, pattern and statistical analysis. Participate in analysis of structured and unstructured data
Work independently and collaboratively in a project team
Implement the applicable Machine Learning or statistics based algorithm for prediction and optimization and deliver the trained model to production
Create and implement algorithms in relevant statistical inference, graph and network analysis, natural language processing with open source tools and libraries.
Design, build and support algorithms of data transformation, conversion, computation on Hadoop, Spark and other distributed Big Data Systems
Design and support effective storage and retrieval of Big Data
Qualifications:
Bachelors or Masters in Computer Science/Engineering or equivalent plus a minimum of 1-2 years relevant experience.
Experience in Data Mining, Machine Learning and related algorithms.
Experience using statistical analysis tools
Experience with analyzing large volumes of data & developing complex algorithms
Experience with R
Database experience with MySQL, MSSQL or equivalent
Strong problem solving skills, attention to detail and solid collaboration skill
Ability to identify and learn applicable new tools and techniques
Good written and verbal communication skills",,,IA
