,Region Name,Region Type,Type,Current,Month Over Month,Quarter Over Quarter,Year Over Year,5 Year Annualized,10 Year Annualized,Current.1,Month Over Month.1,Quarter Over Quarter.1,Year Over Year.1,Current.2,Month Over Month.2,Quarter Over Quarter.2,Year Over Year.2,Current.3,Month Over Month.3,Quarter Over Quarter.3,Year Over Year.3,Current.4,Month Over Month.4,Quarter Over Quarter.4,Year Over Year.4,Current.5,Month Over Month.5,Quarter Over Quarter.5,Year Over Year.5,Current.6,Month Over Month.6,Quarter Over Quarter.6,Year Over Year.6,Current.7,Month Over Month.7,Quarter Over Quarter.7,Year Over Year.7,Current.8,Month Over Month.8,Quarter Over Quarter.8,Year Over Year.8,Current.9,Month Over Month.9,Quarter Over Quarter.9,Year Over Year.9,Current.10,Month Over Month.10,Quarter Over Quarter.10,Year Over Year.10,Current.11,Month Over Month.11,Quarter Over Quarter.11,Year Over Year.11,Current.12,Month Over Month.12,Quarter Over Quarter.12,Year Over Year.12,Current.13,Month Over Month.13,Quarter Over Quarter.13,Year Over Year.13,Current.14,Month Over Month.14,Quarter Over Quarter.14,Year Over Year.14,Current.15,Month Over Month.15,Quarter Over Quarter.15,Year Over Year.15,rent,state
1,Alabama,state,All Homes,129000,0.0038910505836575876,0.01335428122545169,0.06788079470198675,0.0354,0.0165,0.33490000000000003,-0.0040000000000000565,-0.005200000000000031,0.005799999999999912,---,---,---,---,0.14800000000000002,0.007572462231509008,0.003596705601928001,0.018793547209048002,74,0,0.0136986301369863,0.07246376811594203,0.030600000000000002,0.00034112229234180004,0.0005294229609617984,-0.0008727354831206036,200000,-0.043062200956937795,-0.022004889975550123,0.02564102564102564,---,---,---,---,0.5655,0.010299999999999941,-0.01039999999999999,-0.018700000000000046,---,---,---,---,101,-0.007001373589758575,-0.004270676690691107,0.03458763891530446,1000,0.0,-0.047619047619047616,0.005025125628140703,0.7218,0.0036668557676370695,-0.0018243832791314208,0.040977223022981256,---,---,---,---,1001,0.0030060120240480966,0.002002002002002002,-0.014763779527559055,0.65,0,0,-0.006116207951070342,129000,AL
2,Alaska,state,All Homes,310400,0.0006447453255963894,0.0038809831824062097,0.011404366243075921,---,---,---,---,---,---,---,---,---,---,0.17220000000000002,0.011908969371427993,-0.009664587749009001,0.0031385240573380104,186,0,0.005405405405405406,0.005405405405405406,0.024900000000000002,0.002150776053215102,0.0019272291083566007,0.0006548707131394993,279900,0.0,-0.0314878892733564,0.01781818181818182,---,---,---,---,---,---,---,---,---,---,---,---,168,-0.003349769328453136,-0.0149292604726061,0.014512447315729461,1650,-0.02941176470588235,-0.02654867256637168,0.03125,1.1855,-0.008390507254527233,-0.008996503977960384,-0.0010311838922984456,---,---,---,---,1704,0.002942907592701589,0.001763668430335097,-0.0642504118616145,1.242,0,-0.0016077170418006446,-0.029687500000000026,310400,AK
3,Arizona,state,All Homes,246800,0.0069359445124439,0.019834710743801654,0.08008752735229759,0.0729,0.024200000000000003,0.0951,0.008399999999999998,-0.004800000000000004,0.0023000000000000043,---,---,---,---,0.1967,0.018717900552878,0.03145864173827501,0.011566370008182005,148,0.006802721088435374,0.020689655172413793,0.08823529411764706,0.0182,0.0006331251962830997,0.0003246753246752987,-0.0007816392357381008,285000,0.000351000351000351,0.000351000351000351,0.03637494227209751,245300,0,0.005740057400574006,0.04694835680751173,0.8490000000000001,-0.010800000000000125,0.0005999999999998806,-0.005300000000000011,---,---,---,---,156,0.005031135924104633,0.009974129566894063,0.05783989743034456,1410,-0.010526315789473684,-0.027586206896551727,0.044444444444444446,0.9548000000000001,0.0031416645301415805,-0.008381376456412067,0.07462052120668225,0.56,0.0017000000000000003,-9.999999999999897e-05,-0.003799999999999999,1340,0.0029940119760479044,0.002243829468960359,0.008276899924755455,0.8560000000000001,0.004694835680751178,0.004694835680751178,0.014218009478672999,246800,AZ
4,Arkansas,state,All Homes,123600,0.004878048780487805,0.01394585726004922,0.06094420600858369,0.046900000000000004,0.020800000000000003,0.4348,0.004600000000000009,0.08250000000000007,0.19180000000000003,---,---,---,---,0.1471,0.008951482090048994,0.015401468636076991,0.023974516858026006,78,0,0.012987012987012986,0.05405405405405405,0.0334,-0.0001516448503399026,1.4841188155898521e-05,-0.0011301932188009013,172000,-0.016580903373356205,-0.017142857142857144,0.042424242424242434,---,---,---,---,0.4622,9.999999999998011e-05,-0.0986,-0.21840000000000004,---,---,---,---,98,-0.001808891294876088,-0.018567256440752872,0.0415518412322917,1050,0.0,-0.0410958904109589,0.05,0.7468,-0.001965759009835771,-0.02167193444260806,0.01678448291595476,---,---,---,---,963,0.003125,0.003125,0.005219206680584552,0.63,0,0,-0.006309148264984233,123600,AR
5,California,state,All Homes,546100,0.0023861967694566812,0.008494921514312095,0.060182488837119005,0.0727,0.0369,0.1091,0.009700000000000007,0.015300000000000012,-0.004199999999999999,0.1042,0.0348,0.0349,0.011799999999999998,0.2082,0.017548329357213996,0.04294015673280697,0.07123169285238799,354,0.0028328611898017,0.008547008547008548,0.056716417910447764,0.0267,0.0007822835777967985,0.0006892670043728,0.00033701948393880074,539000,-0.0001762212597037628,-0.001851851851851852,0.056862745098039215,486300,-0.011384427729213255,-0.0063342868818962,0.046706844597503225,0.8199000000000001,-0.013300000000000124,-0.03230000000000004,0.0004999999999999716,0.8958,-0.03480000000000004,-0.03489999999999995,-0.011800000000000067,320,0.0019308056744475807,0.0021577423785132605,0.05790676090526489,2700,-0.01818181818181818,-0.03398926654740608,0.018867924528301886,1.9000000000000001,-0.008197116852083639,-0.022857142857140657,0.03131999999999808,0.45,0.00040000000000000034,-0.0008000000000000001,-0.0015999999999999999,2514,0.002792181890706023,0.0023923444976076554,0.00923323966278603,1.6280000000000001,0.0012300123001230024,0.0012300123001230024,0.011180124223602355,546100,CA
6,Colorado,state,All Homes,370600,0.005971769815418024,0.011462882096069871,0.06893567926160946,0.0961,0.0531,0.0971,0.0007000000000000028,-0.0036999999999999924,0.01830000000000001,0.0086,-0.0223,-0.0298,-0.0341,0.19460000000000002,0.018285756538471993,0.03305591271631101,0.04556550065894101,240,0.008403361344537815,0.012658227848101267,0.07623318385650224,0.023200000000000002,0.00011848609145140187,-0.0007063877028580956,-0.0002775392541706978,415000,0.0,-0.00954653937947494,0.012195121951219513,357900,0.0064679415073115865,0.013593882752761258,0.08290468986384267,0.8649,-0.00230000000000004,0.012199999999999989,-0.01,0.9914000000000001,0.02230000000000004,0.029800000000000038,0.034099999999999964,247,0.003853754562491516,0.011325401431614167,0.07294935142415336,1900,-0.002631578947368421,-0.002631578947368421,0.05277777777777778,1.4286,-0.0025325809509308666,-0.012781954887219145,0.023454157782519466,0.08,-9.999999999999995e-05,-0.001,-0.0008,1899,0.0026399155227032735,0.0031695721077654514,0.005293806246691371,1.212,0.0016528925619834726,0,0.0016528925619834726,370600,CO
7,Connecticut,state,All Homes,241700,0.0016576875259013677,0.0062447960033305576,0.03158344003414426,0.0182,-0.0071,0.36970000000000003,-0.005300000000000011,0.041299999999999955,0.07859999999999996,---,---,---,---,0.2089,0.0026415399306650043,0.019477905955724992,0.016098792395325995,154,0,0.006535947712418301,0.02666666666666667,0.0349,-0.0002575495752271983,0.0003971819818033007,-0.0009041308564526007,314900,-0.00031746031746031746,-0.03077870113881194,0.016134236850596968,---,---,---,---,0.48600000000000004,0.010600000000000023,-0.06300000000000004,-0.08939999999999998,---,---,---,---,171,-0.003272764107251415,-0.009158307189480425,0.014664435078100951,1750,-0.027777777777777776,-0.027777777777777776,0.02941176470588235,1.3492,-0.0028943470209512536,-0.025099216444488082,0.02583186859809857,---,---,---,---,1735,0.002890173410404624,0.002310803004043905,-0.030726256983240222,1.1680000000000001,0.0034364261168384914,0.001715265866209264,-0.0250417362270451,241700,CT
8,Delaware,state,All Homes,232500,0.0012919896640826876,0.0017233950883239983,0.040268456375838924,0.0393,0.0011,0.2495,0.018200000000000004,-0.028000000000000042,0.00259999999999998,---,---,---,---,0.1792,0.026522860798118993,0.019294290219773007,0.016844387564982986,134,0,0.007518796992481203,0.046875,0.029400000000000003,2.093609687400022e-05,0.00043385155074259884,0.0008531066329936988,287500,-0.005190311418685121,-0.0013893713094824591,0.03828096785843265,---,---,---,---,0.6423,-0.014699999999999989,0.02720000000000006,-0.04,---,---,---,---,144,0.0020603630693836164,0.0035556588040293376,0.028551190203642707,1400,0.0,0.0,0.07692307692307693,0.9202,-0.0002845123099912398,0.02089723926380393,0.03130949862492089,---,---,---,---,1435,-0.0006963788300835655,0,0.007017543859649122,0.9380000000000001,0.00213675213675202,0.00213675213675202,-0.006355932203389836,232500,DE
9,Florida,state,All Homes,228700,0.004391743522178305,0.01329198050509526,0.08132387706855793,0.1,0.0234,0.1796,0.016700000000000017,0.028200000000000003,0.0007000000000000028,---,---,---,---,0.18480000000000002,0.022762179377548007,0.025560314187073007,0.034009107126529,144,0.006993006993006993,0.02127659574468085,0.08270676691729323,0.0263,0.000999333777481599,0.00016697097192449828,-0.0014774289810129027,289900,0.0,-0.0037766452805679746,0.03535714285714286,---,---,---,---,0.7424000000000001,-0.018100000000000022,-0.04280000000000001,-0.01,---,---,---,---,166,0.0037337167354058757,0.006084411336668962,0.048441230381064085,1800,0.0,0.0,0.002785515320334262,1.3544,-0.0020767494356725264,0.01203912716327648,0.03192518542405341,---,---,---,---,1589,0.0012602394454946438,0.0025236593059936915,0.024500322372662798,1.088,0.0018416206261510145,0.0018416206261510145,0.02063789868667919,228700,FL
10,Georgia,state,All Homes,182200,0.012222222222222223,0.02937853107344633,0.10962241169305725,0.0844,0.018600000000000002,0.2083,0.003000000000000007,0.04010000000000002,0.026700000000000015,---,---,---,---,0.1618,0.013354010937616003,0.021478887536182007,0.03020299838482,99,0.020618556701030924,0.042105263157894736,0.11235955056179775,0.0268,-0.0002723258676762974,8.103105429300151e-05,-0.0018166178425557966,250000,-0.0046146066834156846,-0.01956939487823052,0.04210087536473531,---,---,---,---,0.7180000000000001,-0.0005000000000001136,-0.05810000000000002,-0.03210000000000008,---,---,---,---,116,-0.0005304447360325198,-0.0029080552605462245,0.07109634551495152,1350,-0.014598540145985401,-0.03571428571428571,0.038461538461538464,0.8019000000000001,0.005549840185255659,-0.008872620728837573,0.04236023769555848,---,---,---,---,1278,0.0031397174254317113,0.002352941176470588,0.011876484560570071,0.742,0.002702702702702705,0.002702702702702705,0.010899182561307912,182200,GA
