name,company,company_review,location,description,salary_low,salary_high,state
Software Engineer-Entry Level,BOEING,3.5 ,"– Everett, Washington","Everett,Washington,United States
6J7BP1
Boeing Commercial Airplanes is seeking a entry-level Software Engineer to BCA Engineering in Everett, WA.

POSITION RESPONSIBILITIES
Develops applications, systems, and tools to enable connected Airplanes both in the factory/build environment and in-service.
Works in a collaborative team environment to build user-centered, secure application solutions which include the entire software lifecycle from collecting requirements, designing software product features, technical designs, software testing, and application support/maintenance.
Assists with the documentation and maintenance of architectures, requirements, algorithms, interfaces and designs for software systems.
Develops and maintains code and integrates software components into a fully functional software system.
Assists with test procedures and documenting test results to ensure software system requirements are met.
Gathers information to support software project management.
Documents deployed processes and tools and collect metrics.
Supports software research and development projects.
Troubleshoots basic software issues.
Works under close supervision.
Boeing is the world's largest aerospace company and leading manufacturer of commercial airplanes and defense, space and security systems. We are engineers and technicians. Skilled scientists and thinkers. Bold innovators and dreamers. Join us, and you can build something better for yourself, for our customers and for the world.

This position must meet Export Control compliance requirements, therefore a US Person as defined by 22 C.F.R. § 120.15 is required. US Person includes US Citizen, lawful permanent resident, refugee, or asylee.


Basic/Required Qualifications:
Bachelor, Master or Doctorate of Science degree from an accredited course of study, in engineering, computer science, mathematics, physics or chemistry.
Preferred Qualifications:
Familiarity with systems, server, and client software development.
Familiarity/experience with some of the following: JAVA, Eclipse, Java Bean, XML, WSDL, SQL server DB, Ajax, Soap, Digital signatures, software testing, cybersecurity practices.
Typical Education/Experience:
Bachelor, Master or Doctorate of Science degree from an accredited course of study, in engineering, computer science, mathematics, physics or chemistry. ABET is the preferred, although not required, accreditation standard.
This position is located in Everett, WA and may offer relocation assistance.

Yes, 10 % of the Time
BCA Engineering
Entry Level
Yes
No
Standard
United States; The Boeing Company
Apply Now: click Apply Now",72000,118000,WA
Software Engineer-Entry Level,BOEING,3.5 ,"– Everett, Washington","Everett,Washington,United States
6J7BP1
Boeing Commercial Airplanes is seeking a entry-level Software Engineer to BCA Engineering in Everett, WA.

POSITION RESPONSIBILITIES
Develops applications, systems, and tools to enable connected Airplanes both in the factory/build environment and in-service.
Works in a collaborative team environment to build user-centered, secure application solutions which include the entire software lifecycle from collecting requirements, designing software product features, technical designs, software testing, and application support/maintenance.
Assists with the documentation and maintenance of architectures, requirements, algorithms, interfaces and designs for software systems.
Develops and maintains code and integrates software components into a fully functional software system.
Assists with test procedures and documenting test results to ensure software system requirements are met.
Gathers information to support software project management.
Documents deployed processes and tools and collect metrics.
Supports software research and development projects.
Troubleshoots basic software issues.
Works under close supervision.
Boeing is the world's largest aerospace company and leading manufacturer of commercial airplanes and defense, space and security systems. We are engineers and technicians. Skilled scientists and thinkers. Bold innovators and dreamers. Join us, and you can build something better for yourself, for our customers and for the world.

This position must meet Export Control compliance requirements, therefore a US Person as defined by 22 C.F.R. § 120.15 is required. US Person includes US Citizen, lawful permanent resident, refugee, or asylee.


Basic/Required Qualifications:
Bachelor, Master or Doctorate of Science degree from an accredited course of study, in engineering, computer science, mathematics, physics or chemistry.
Preferred Qualifications:
Familiarity with systems, server, and client software development.
Familiarity/experience with some of the following: JAVA, Eclipse, Java Bean, XML, WSDL, SQL server DB, Ajax, Soap, Digital signatures, software testing, cybersecurity practices.
Typical Education/Experience:
Bachelor, Master or Doctorate of Science degree from an accredited course of study, in engineering, computer science, mathematics, physics or chemistry. ABET is the preferred, although not required, accreditation standard.
This position is located in Everett, WA and may offer relocation assistance.

Yes, 10 % of the Time
BCA Engineering
Entry Level
Yes
No
Standard
United States; The Boeing Company
Apply Now: click Apply Now",72000,118000,WA
Lead Software Engineer,Accessible Solutions,5.0 ,"– Cocoa, FL","Accessible Solutions (ASI) develops software solutions for the aging services industry. This includes meals on wheels organizations, homecare providers, senior centers, adult day providers and more. Our customers are primarily in the United States, but we do have some customers in Canada as well. We are most known in the Meals on Wheels industry as having a best in class product.
ASI is in a prime position for growth and we are developing our next generation products to ensure our market position continues increase. We are looking for a lead engineer that will help support existing technologies and play a significant part of designing and building our next generation solution. We don't expect you to know everything coming in, but we do expect very strong skillsets in certain technologies. We’ll outline those below.
Our preference is to have someone working locally from our Cocoa, Florida office. Just 10 minutes from the beach!

What you'll do
Architect and create new products, ranging from discussing wire-frames to creating the data model and deploying the end result.
Maintain existing desktop applications and web applications.
Build features in our current stack (C#, ASP.NET MVC Core 2, Web API, OData, and SQL Server).
Measure, optimize, and scale our current infrastructure.
Ship regularly.
Skills & Requirements

What we're looking for...
First and foremost, you have a very strong foundation in C# and SQL.
You are at home on a Microsoft stack.
You have experience working with Microsoft Azure Cloud Platform.
You know how to design and optimize a relational database schema for performance.
You are comfortable with distributed version control systems such as Git or Virtual Studio Team Foundation Server.
You have desktop and server side development experience.
You have experience designing and building APIs (RESTful or otherwise).
You have a good grasp of concurrent programming.
You have experience with PowerShell or are excited to learn PowerShell
You’re motivated, self-directed, and are a good communicator.
Locally based employment, so please do not apply if you are not currently based within the US.
What to expect when you apply...
We may submit entry level tests to validate basic math and coding skillsets.
A more advanced test will be required prior to an interview.
We do not expect a 100% grade on the test. This establishes a base line of your current knowledge in a few key areas that will be used for additional discussions.
Phone interviews with lead engineer and the president of the company.
Onsite interviews with management team.
Frameworks we use... You should be comfortable with many if not most of the following and be excited to learn the rest.
NET MVC Core 2
Web API
Entity Framework
Net
LINQ
Moq
MsTest / XUnit / NUnit
Reactive Extensions
Simple Injector / Unity
Task Parallel Library (and async / await)
WCF
WPF
Bonus Points If...
You know your way around IIS and Windows Server.
You know how to write high quality unit tests.
You are passionate about programming and contribute to open source projects.
You are familiar with the MVVM and dependency injection design patterns.
You have some knowledge of client-side web development (ASP.NET MVC and Javascript).
You have worked with Microsoft Dynamics (or comparable) CRM
About Accessible Solutions What we offer...
A low ego environment where you can give and receive direct feedback.
Transparent leadership that openly shares the thinking behind company direction and strategy.
A flat organization where you are encouraged to contribute to company direction and strategy.
The opportunity to help shape the future of our industry.
A flexible work environment: our preference is office-based work, but we understand that sometimes that doesn’t always work.
Medical benefits
Job Type: Full-time",95000,110000,FL
"Software Engineer (Rochester, NY - New Grad)",Harris,3.4 ,– Location: USA - NY - Rochester,"Description:

Job Title Software Engineer New College Graduate
Job Location Rochester, NY
Job ID CS20182407-26106

Harris Corporation is a leading technology innovator, solving customers toughest mission-critical challenges by providing solutions that connect, inform and protect. Harris supports government and commercial customers in more than 100 countries and has approximately $6 billion in annual revenue. The company is organized into three business segments: Communication Systems, Space and Intelligence Systems and Electronic Systems. Learn more at harris.com.

Job Description:

Harris is searching for talented entry level Software Engineers to join the Harris team in order to help design, develop, and verify cutting edge communications and digital communications. Our engineers produce state of the art systems and a variety of products focused on providing full communication solutions for a variety of needs including public safety, DoD, and international.

All Specialties of Computer and Software Engineering
Determine design approaches and parameters
Perform system analysis to determine feasibility of design within time and cost constraints
Utilize modeling tools and equipment to establish operating data, conduct experimental tests, and evaluate results
Develop scripts to automate commonly performed tasks (Python, Perl, Bash, etc)
Work within a variety of operating systems (Linux/Windows)
Digital Hardware Engineering
Design, analyze, modify, test, and implement FPGA solutions for incorporation in Harris software defined radios and related products
Work with adjacent teams to troubleshoot and debug interface problems
Utilize tools and languages such as Questa, ModelSim, VHDL, and Verilog
DSP Engineering
Design, analyze, modify, test, and implement DSP and software solutions for incorporation in Harris software defined radios and related products
Work with adjacent teams to troubleshoot and debug interface problems
Utilize tools and languages such as MATLAB, C, and C++
Embedded Software Engineering
Design, analyze, modify, test, and implement software solutions for incorporation into Harris software defined radios and related products
Work with adjacent teams to understand, troubleshoot, and debug hardware and software problems at the interface level
Utilize tools and languages such as compilers, C, C++, and CORBA protocols
Software Applications Engineering
Design, analyze, modify, test, and implement software solutions for incorporation into Harris software applications and peripheral products
Utilize tools and languages such as git, C#, Android, and Java
Software Design Verification
Design and modify automated tests to verify the operational state of various Harris products and accessories
Test, analyze, and evaluate the requirements compliance of Harris software products
Utilize tools such as Visual Studio, C#, .NET, XML, and command line interfaces
Test Engineering
Design and modify tests to verify the operational state of various Harris products and accessories
Provide support and test automation development in a production environment
Utilize tools such as network analyzers, LabVIEW, and scripting
QUALIFICATIONS:
Bachelors degree in Computer Science, Computer Engineering, Electrical Engineering, or a related field
0-2 years experience in related field
GPA of 3.0 or greater required
Preferred Additional Skills:
Multi-threaded software design
Use of software emulators and debuggers
Ability to analyze and modify existing software for new capabilities
Real-Time Operating Systems (QNX, Green Hills Integrity, etc)
Exposure to code and process management tools (Code Collaborator, JIRA, SVN, Git, DOORS, etc)
Experience with flash file systems, XML, or networking protocols
Ability to work in a team and independently
Design and implementation of OSI model (layers 1-3 specifically)
Understanding of RF concepts and technology
Experience writing drivers for peripheral devices (USARTs)
Digital signal processing/image processing
Development of system qualification test plans or defect analysis reports
Please be aware that many of our positions require a security clearance, or the ability to obtain one. Security clearances may only be granted to U.S. citizens. In addition, applicants who accept a conditional offer of employment may be subject to government security investigation(s) and must meet eligibility requirements for access to classified information.

By submitting your résumé for this position, you understand and agree that Harris Corporation may share your résumé, as well as any other related personal information or documentation you provide, with its subsidiaries and affiliated companies for the purpose of considering you for other available positions.

Harris is an Equal Opportunity/Affirmative Action Employer. We consider applicants without regard to race, color, religion, age, national origin, ancestry, ethnicity, gender, gender identity, gender expression, sexual orientation, marital status, veteran status, disability, genetic information, citizenship status, or membership in any other group protected by federal, state or local law.
To apply to this job, click Apply Now",62000,103000,NY
Software Engineer,Casa Systems Inc,3.6 ,"– Andover, US-MA","Casa Systems, Inc., is a leading provider of next-generation ultra-broadband distributed and virtualized architectures in mobile, fixed telecom and cable networks. As the original supplier of commercially deployed CCAP systems that deliver voice, video, and data over a single port, Casa continues a tradition that brings leading edge solutions to hundreds of service providers around the world. At Casa Systems, our mission is to deliver ultra-broadband solutions that keep families, communities and the world connected. We harness our passion for innovation to drive technological solutions that allow service providers to do amazing things that improve the way we live.

Internships/Entry Level Opportunity

Candidates for this position are software engineering students who want real-world development experience on products being delivered to our customers. You will be involved in the enhancement and development of embedded software for one or more projects involving Ultra Broadband Network Edge Devices (fixed, mobile, optical and wi-fi solutions). You will be part of a small (1-6 person), multi-disciplinary team that has full responsibility for product development from requirements gathering to final product delivery.

You may be involved in all areas of development (i.e. requirements analysis, high and low level design, coding, documentation, and testing and validation). Our products are developed to very high standards of quality and reliability and you will have the opportunity to learn the department's software process during all development activities.

You will present status of your progress to other team members and to management. You may also have the opportunity to interact with our customers.

QUALIFICATIONS:
Must have a valid work authorization (EAD).
Passionate about developing embedded software.
Currently enrolled in an accredited university pursuing a bachelor’s or master’s degree in Computer Science, Computer Engineering, Electrical Engineering, or a related major such as Math, Physics OR recent graduate.
GPA 3.0 or higher.
Solid understanding of computer science fundamentals and software engineering with an aptitude for learning new technologies.
Strong knowledge of programming and scripting languages.
Possess creative problem solving skills and excellent troubleshooting/debugging skills.
Excellent verbal and written communication skills.
Experience in establishing and sustaining excellent relationships with the extended team.
Casa Systems, Inc. participates in the EVerify program. Casa Systems is committed to fostering a diverse workforce and inclusive work environment free from unlawful employment discrimination and without barriers to Equal Employment Opportunity (EEO).

Required Skills

Required Experience

Job Location
Andover, US-MA
Apply Now: click Apply Now",90000,110000,MA
"Software Engineer, Entry Level",State Street Corporation,3.1 ,"– Boston, Massachusetts","In January 2018, we launched one of the industry’s largest technical transformation projects, in effect building a new bank from the ground up. We’re using the same technologies that Silicon Valley giants are using: aggressive use of multiple public clouds, building our own private cloud to achieve even better performance, pushing out microservices into what will be one of the largest Kubernetes installations in the world, leveraging immutable storage to process and store hundreds of terabytes of data per day, transforming our industry through application of distributed ledger technology and cognitive computing, aggressively participating in open-source communities that are driving our systems.

This isn’t a traditional banking role. This is a chance to push your technical skills with people who are more comfortable in a technology firm than an investment bank, and are solving real problems that affect anyone with any form of savings worldwide. We don’t expect you to wear a suit, we don’t expect you to not be able to tell your friends what you’re working on, and we don’t expect you to sit in meetings 5 hours a day.

Specifically, the Distributed Ledger Technology (DTL) team is responsible for developing the next generation mission-critical applications for the bank. This level of transformation can only be achieved with a complete ground up redesign. New technologies (blockchain, machine learning, CI/CD, microservices, clouds) mean you get to learn a lot more and opportunities to contribute into upstream open source projects.

Primary Responsibilities:
Participating in agile development with team members.
Applying Test Driven Development methodology to code.
Engaging with lines of business, users and analysts to explore and prototype opportunities and use-cases.
Continuously learning and proactively championing new technical methods relevant to the project.

Required Qualifications:
Bachelor’s degree (or higher) in Computer Science or related field.
Solid understanding of some high level programming languages.
A natural problem solver.
Strong communication and interpersonal skills.
Preferred skills in Kubernetes, Docker, Git, Jira, Agile methodologies.
Preferred knowledge of Distributed ledger technologies.
Apply Now: click Apply Now",,,MA
Software Engineering Manager 1,Northrop Grumman,3.7 ,"– San Diego, CA","Seeking an entry level Software Engineering functional manager for a team of up to 20 engineers, reporting to the software functional site manager for Engineering, Science and Technology.

She/he will provide guidance to direct report employees based on organizational goals and company policies. Specific responsibilities include coordinating with programs for tasking, timecard supervision, staffing, recruiting, training, preparing and delivering performance reviews to employees, evaluating/recommending employees for promotions, evaluating salaries and coordinating with Human Resources on potential adjustments, assisting employees in preparing performance goals, providing career guidance to employees and counseling employees on their performance as necessary.

She/he will enforce software standards, software process, common software tools usage, product line component reuse and software quality in accordance with Northrop Grumman Mission Systems guidelines.

The qualified candidate will also provide significant (approximately 80%) direct support to programs and/or other technical efforts, including capture and proposals. This will include but is not limited to Software Engineering efforts, as well as estimating, planning, risk management, managing cost and schedule (EVMS) and quality on programs to meet contract commitments.

Software engineering efforts description: Designs, develops, documents, integrates, tests, debugs, deploys and maintains applications software and systems that contain logical and mathematical solutions. Conducts multidisciplinary research and collaborates with equipment designers and/or hardware engineers in the planning, design, development, and utilization of computing systems for product and commercial software. Determines computer user needs; analyzes system capabilities to resolve problems on program intent, output requirements, input data acquisition, programming techniques and controls; prepares operating instructions; designs and develops test programs, utility programs, and implements computing development, integration, test and deployment environments and automated build and test processes.

To learn more about our hiring process for manager positions, please view our Selecting the Best Qualified Managers video: www.northropgrumman.com/SQMVideo

Basic Qualifications:

BS in Computer Science, Computer Engineering, Electrical Engineering or related STEM degree. More than 5 years of development experience in C/C++.

Direct experience in operational DoD embedded or application software engineering

Candidate must be a US citizen with a fully-active DoD Secret clearance

Candidate must have excellent written and communication skills and be able to work independently and within groups.

Candidate must have a full understanding of the software engineering discipline.

Knowledge of engineering process, be proficient in process development and implementation as well as functional organization aspects

Ability to facilitate/mediate in conflict resolution matters

Familiarity with other Engineering disciplines

Excellent interpersonal skills required

Preferred Qualifications:

Experience in Agile software development methods

Direct supervisory experience and/or significant team leadership

Real-time embedded operating system hosted waveform or waveform services software development

More than 5 years of development experience in C/C++

Digital signal processing experience

Experience with DoD programs and processes

Northrop Grumman is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action Employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class. For our complete EEO/AA and Pay Transparency statement, please visit www.northropgrumman.com/EEO. U.S. Citizenship is required for most positions.
Apply Now: click Apply Now",135000,176000,CA
CNC Controls/Software Engineer,Star Cutter,2.7 ,"– Hoffman Estates, IL","Role

The role of our CNC Controls/Software Engineer is to service all machines sold by Star SU which include (but not limited to) runoff, installation, training customers, warranty support and additional support based on customer needs after machine warranty expires both domestic and international.

Responsibilities
Control integration to external automation, RFID and FIS integration, customer training, software changes and updates as well as retrofits of FFG Modul gear hobbing, chamfer/deburring, Samputensili gear grinding and gear shaving, FFG turning and metal cutting machine tools, plus additional machine tools as required
Interpretation of error messages and systematic trouble-shooting and repair
Customer contact and support via phone, e-mail and remote online communication to machine PC
PLC/ladder software design and development with Step 7 Siemens and Ladder Logic for Fanuc CNC controls and understanding of high level language (C++, C#, etc.)
Ability in CNC configuration and programming, understanding of HMI designs
Translate customer functional requirements into maintainable code
Design, program, and debug basic PLC/ladder features
Read and understand basic electrical and fluid power schematics
Work closely with the OEM’s and Automation suppliers software and control engineering on software developments and implementation
Willingness to travel up to 50-60%. The position could also involve customer machine acceptance and training at the OEM in Europe and therefore will require a valid passport
Candidates must be legally authorized to work in the United States on a permanent basis. Verification of employment eligibility will be required at the time of hire. Visa sponsorship is not available for this position
Knowledge and Skills
Ability to read mechanical, pneumatic, electric and hydraulic prints
Customer support oriented understanding
Ability to work systematically and independently
Knowledge of various control systems (Siemens 840D and Fanuc)
Good communication and organization skills
Knowledge of spindle and axis drives on CNC machines
Understanding of ISO CNC G and M code programming
Basic troubleshooting skills in electrical, PLC, or CNC systems
Education Requirements
Bachelor's Degree in Electrical or Computer science or related field from four-year college or university (or equivalent experience)
Experience Requirements
Entry level to 2 - 4 years’ experience (not including education)
Some experience in a related gear industry and knowledge in the field of gear technology
Experience with Siemens Step 7 or Siemens 840D Controls (some Fanuc)
Start your job application: click Easy Apply",55000,80000,IL
Software Engineer (.Net),ExtendAG,,,"The company where you can make an impact and bring value.
Job Summary:
ExtendAg is part of the Cultura family. ExtendAg provides supply chain management solutions to many of the largest food manufactures in the United States and Canada. Visit http://www.extendag.com for more information.
Job Description:
We have an immediate opening for a software analyst in our Manteca, California office. This job will put you squarely in the mix between business and technology challenges. Your creativity and ingenuity will directly impact new product offerings and company initiatives. With the support of the other development team members; you will have the chance to develop your skills towards greater opportunities.
If this sounds interesting, checkout the list of duties and requirements you will need to be considered.
Typical Duties:
Assist in designing and programming ExtendAg software applications for desktop, web and mobile platforms.
Build scalable, fault tolerant applications.
Stay current on the latest technologies.
Prepare technical correspondence for internal and external use.
Education/Experience Requirements:
BS in Computer Science or a related field.
0-3 years of experience in development & programming. We are willing to train entry level candidates who are interested in growth.
Proficient in the following languages: C#, .NET, HTML 5.0, Javascript.
Complete understanding of object oriented programming.
Excellent verbal and written communication skills are a must.
Must have a true passion for technology
Deadline driven.
Desired Qualities:
Oracle database experience.
Microsoft SQL Server experience.
LINQ and LINQ to SQL experience.
EOE/M/D/F/V
Worker Type:
Regular
Number of Openings Available:
1
To apply to this job, click Apply Now",,,
Technical Software Support Specialist,"Tecplot, Inc",4.6 ,"– Bellevue, WA","Company Description
We believe visual data analysis is the key to unlocking information hidden in complex data, leading to world changing discoveries and innovation. Tecplot, Inc. is a leading provider of data visualization and analysis software and is located in Bellevue, WA. Our company culture is casual, yet focused on providing high quality visualization products that help engineers and scientists to be more creative, efficient and productive. With over thirty years of experience, and thousands of users worldwide, Tecplot, Inc. has become a trusted name in data visualization.
Job Description
Tecplot is currently looking for an entry level Technical Support Specialist. In this position, you will provide comprehensive technical product support by phone/email to our customers. Work closely with the development team to support issues from our customers. Provide license management for our customers and distributors. A strong customer service attitude is required.
Responsibilities:
Research and resolve complex customer product usage questions.
Research and resolve software installation and configuration problems.
Reproduce and report software defects to development team.
Develop macros and python scripts to optimize customer and prospect workflows.
Develop and deliver online and onsite training.
Develop and deliver product demonstrations to prospective customers.
Conduct technical feasibility discussions as part of the sales process.
Manage, administer and troubleshoot customer licenses and license database.
Desired Skills & Experience
Bachelor's degree (B.S.) in engineering, computer science, math or physical science
or equivalent combination of education and experience.
Two or more years technical support experience, preferred
Experience delivering web-based and in-person technical product training
Experience with Windows, Linux/Unix, and Mac operating systems.
Ability to speak effectively before groups of customers or employees of organization.
Ability to communicate clearly and effectively with people on the phone and through email.
Ability to provide and document clearly written procedures.
Two or more years of programming experience using C++, Java and/or Python.
Ability to apply principles of logical or scientific thinking to a wide range of intellectual
and practical problems
Must be detail oriented
Excellent customer service
Non-smoker
Live locally
To learn more about Tecplot visit our website

Please submit your resume and cover letter, including salary requirements.",41000,65000,WA
